Released	Program Name	Program Revision	Approximate Date	Predecessor Name	Predecessor Revision	Known PCRs/PCNs/Software Anomaly Reports Incorporated Relative to Predecessor	References	Notes
	LUMINARY	61	1968-12-03	LUMINARY	60	PCR-233, PCR-254.2, PCR-618, PCR-622, PCR-623, PCR-627.2, PCR-630, PCR-631, Y-72, Y-74, TBD (17)	LUMINARY Memo #55	
	LUMINARY	62	1968-12-17	LUMINARY	61	PCR-616, STG-42, TBD (5)	LUMINARY Memo #58	
	LUMINARY	63	1968-12-17	LUMINARY	62	PCR-258, PCR-623, PCR-632, PCR-634, PCR-635, PCN-652, Y-89, TBD (11)	LUMINARY Memo #58	
	LUMINARY	64	1968-12-17	LUMINARY	63	PCR-640, LNY-6, LNY-9, TBD (4)	LUMINARY Memo #58	
	LUMINARY	65	1969-01-14	LUMINARY	64	(none)	LUMINARY Memo #61	
	LUMINARY	66	1969-01-14	LUMINARY	65	PCR-265, TBD (4)	LUMINARY Memo #61	
	LUMINARY	67	1969-01-14	LUMINARY	66	PCR-259, PCR-640, TBD (6)	LUMINARY Memo #61	
	LUMINARY	68	1969-01-14	LUMINARY	67	PCR-264, PCR-639, PCR-640, TBD (6)	LUMINARY Memo #61	
r10p1l	LUMINARY	69	1969-01-14	LUMINARY	68	PCR 229, TBD (3)	LUMINARY Memo #61	
	LUM69	1	1969-04-01	LUMINARY	69	PCR-761.1	LUMINARY Memo #75	
r10	LUM69	2	1969-04-01	LUM69	1	PCR-761.1	LUMINARY Memo #75	LUM69 rev 2 was the Lunar Module AGC software flown on Apollo 10.
	LUMINARY	70	1969-02-17	LUMINARY	69	(none)	LUMINARY Memo #67	
	LUMINARY	71	1969-02-17	LUMINARY	70	PCR-259, PCR-659.2, PCR-698, PCR-699, LNY-21, LNY-23, LNY-24, LNY-25, LNY-27, LNY-30, TBD (1)	LUMINARY Memo #67	
	LUMINARY	72	1969-02-17	LUMINARY	71	PCR-260, PCR-670, PCR-700, PCR-721, LNY-20, TBD (1)	LUMINARY Memo #67	
	LUMINARY	73	1969-02-17	LUMINARY	72	PCR-717	LUMINARY Memo #67	
	LUMINARY	74	1969-02-17	LUMINARY	73	PCR-270, PCR-648, PCR-659.2, PCR-670, PCR-697, PCR-708, PCR-709, LNY-26, LNY-28, LNY-33, LNY-34, LNY-36, TBD (1)	LUMINARY Memo #67	
	LUMINARY	75	1969-02-17	LUMINARY	74	(none)	LUMINARY Memo #67	
	LUMINARY	76	1969-02-17	LUMINARY	75	PCR-654, PCR-670, PCR-688, PCR-696, PCR-731, LNY-24	LUMINARY Memo #67	
	LUMINARY	77	1969-02-17	LUMINARY	76	TBD (1)	LUMINARY Memo #67	
	LUMINARY	78	1969-02-17	LUMINARY	77	(none)	LUMINARY Memo #67	
	LUMINARY	79	1969-02-17	LUMINARY	78	PCR-648, PCR-695, PCR-701, PCR-719, PCR-720	LUMINARY Memo #67	
	LUMINARY	80	1969-03-26	LUMINARY	79	PCR-649, PCR-700, PCR-719, PCR-722	LUMINARY Memo #73	
	LUMINARY	81	1969-03-26	LUMINARY	80	PCR-642, PCR-646, PCR-716, PCR-718, PCR-722, PCR-737, LNY-37, LNY-39, ACB-2, TBD (2)	LUMINARY Memo #73	
	LUMINARY	82	1969-03-26	LUMINARY	81	PCR-268.2, PCR-642, PCR-710, PCR-715	LUMINARY Memo #73	
	LUMINARY	83	1969-03-26	LUMINARY	82	TBD (1)	LUMINARY Memo #73	
	LUMINARY	84	1969-03-26	LUMINARY	83	PCR-267, PCR-647, PCR-723, PCR-736, ACB-1	LUMINARY Memo #73	
	LUMINARY	85	1969-03-26	LUMINARY	84	(none)	LUMINARY Memo #73	
	LUMINARY	86	1969-03-26	LUMINARY	85	(none)	LUMINARY Memo #73	
	LUMINARY	87	1969-03-26	LUMINARY	86	PCR-271, PCR-707.2, ACB-3	LUMINARY Memo #73	
	LUMINARY	88	1969-03-26	LUMINARY	87	PCR-647, PCR-732, PCR-736, PCR-738, PCR-744, PCR-751, LNY-41, LNY-42, LNY-43, ACB-4	LUMINARY Memo #73	
	LUMINARY	89	1969-03-26	LUMINARY	88	PCR-731,PCR-740, LNY-46, ACB-5, ACB-6, TBD (1)	LUMINARY Memo #73	
	LUMINARY	90	1969-03-26	LUMINARY	89	PCR-716, PCR-754, LNY-47, LNY-48, LNY-49, LNY-50	LUMINARY Memo #73	
	LUMINARY	91	1969-03-26	LUMINARY	90	PCN-755	LUMINARY Memo #73	
	LUMINARY	92	1969-03-26	LUMINARY	91	PCN-758, PCR-751, PCR-756, PCR-757, LNY-53, TBD (1)	LUMINARY Memo #73, LUMINARY Memo #78	
	LUMINARY	93	1969-04-10	LUMINARY	92	TBD (3)	LUMINARY Memo #78	
	LUMINARY	94	1969-04-10	LUMINARY	93	TBD (1)	LUMINARY Memo #78	
	LUMINARY	95	1969-04-10	LUMINARY	94	PCN-758, PCN-761.1, LNY-56, TBD (1)	LUMINARY Memo #78	
r11p1l	LUMINARY	96	1969-04-10	LUMINARY	95	PCN-762	LUMINARY Memo #78	
r11p2l	LUMINARY	97	1969-04-20	LUMINARY	96	TBD	No information available	
	LUMINARY	98	1969-05-19	LUMINARY	97	LNY-65, TBD (1)	LUMINARY Memo #83	
r11p3l	LUMINARY	99	1969-05-21	LUMINARY	98	LNY-70, PCR-775	LUMINARY Memo #85	
r11	LMY99	1	1969-06-17	LUMINARY	99	TBD	No information available	LMY99 rev 1 was the Lunar Module AGC software flown on Apollo 11.
	LUMINARY	100	1969-07-07	LUMINARY	99	PCR-773.2, PCR-776.2, PCR-779, PCR-830, LNY-58, LNY-61, LNY-62, LNY-63, LNY-64, LNY-65, LNY-66, LNY-67, LNY-71, LNY-72, LNY-73, LNY-74	LUMINARY Memo #91	
	LUMINARY	101	1969-07-07	LUMINARY	100	PCR-823, LNY-69, TBD (2)	LUMINARY Memo #91	
