P/N,Type,Value,Tolerance,Rating,Manufacturer,MFG P/N
1010733-391,Resistor,13000 Ω,±0.1%,0.1W,,
1010733-396,Resistor,13800 Ω,±0.1%,0.1W,,
1010733-401,Resistor,14700 Ω,±0.1%,0.1W,,
1010733-405,Resistor,15400 Ω,±0.1%,0.1W,,
1010733-408,Resistor,16000 Ω,±0.1%,0.1W,,
1010733-413,Resistor,16900 Ω,±0.1%,0.1W,,
1010733-417,Resistor,17800 Ω,±0.1%,0.1W,,
1010733-420,Resistor,18400 Ω,±0.1%,0.1W,,
1010733-422,Resistor,18900 Ω,±0.1%,0.1W,,
1010733-426,Resistor,19800 Ω,±0.1%,0.1W,,
1010733-428,Resistor,20300 Ω,±0.1%,0.1W,,
1010733-431,Resistor,21000 Ω,±0.1%,0.1W,,
1010733-435,Resistor,22100 Ω,±0.1%,0.1W,,
1010733-438,Resistor,22900 Ω,±0.1%,0.1W,,
1010733-442,Resistor,24000 Ω,±0.1%,0.1W,,
1010733-446,Resistor,25200 Ω,±0.1%,0.1W,,
1010733-451,Resistor,26700 Ω,±0.1%,0.1W,,
1010733-456,Resistor,28400 Ω,±0.1%,0.1W,,
1010733-461,Resistor,30100 Ω,±0.1%,0.1W,,
1010733-465,Resistor,31600 Ω,±0.1%,0.1W,,
1010733-469,Resistor,33200 Ω,±0.1%,0.1W,,
1010733-472,Resistor,34400 Ω,±0.1%,0.1W,,
1010733-476,Resistor,36100 Ω,±0.1%,0.1W,,
1010733-479,Resistor,37400 Ω,±0.1%,0.1W,,
1010733-483,Resistor,39200 Ω,±0.1%,0.1W,,
1010733-487,Resistor,41200 Ω,±0.1%,0.1W,,
1010733-490,Resistor,42700 Ω,±0.1%,0.1W,,
1010733-494,Resistor,44800 Ω,±0.1%,0.1W,,
1010733-497,Resistor,46400 Ω,±0.1%,0.1W,,
1010733-499,Resistor,47500 Ω,±0.1%,0.1W,,
1010733-501,Resistor,48700 Ω,±0.1%,0.1W,,
1010733-503,Resistor,49900 Ω,±0.1%,0.1W,,
1010733-505,Resistor,51100 Ω,±0.1%,0.1W,,
1010733-507,Resistor,52300 Ω,±0.1%,0.1W,,
1010733-509,Resistor,53600 Ω,±0.1%,0.1W,,
1010733-512,Resistor,55600 Ω,±0.1%,0.1W,,
1010733-515,Resistor,57600 Ω,±0.1%,0.1W,,
1010733-517,Resistor,59000 Ω,±0.1%,0.1W,,
1010733-520,Resistor,61200 Ω,±0.1%,0.1W,,
1010733-522,Resistor,62600 Ω,±0.1%,0.1W,,
1010733-525,Resistor,64900 Ω,±0.1%,0.1W,,
1010733-528,Resistor,67300 Ω,±0.1%,0.1W,,
1010733-530,Resistor,69000 Ω,±0.1%,0.1W,,
1010733-533,Resistor,71500 Ω,±0.1%,0.1W,,
1010733-535,Resistor,73200 Ω,±0.1%,0.1W,,
1010733-537,Resistor,75000 Ω,±0.1%,0.1W,,
1010733-540,Resistor,77700 Ω,±0.1%,0.1W,,
1010733-542,Resistor,79600 Ω,±0.1%,0.1W,,
1010733-544,Resistor,81600 Ω,±0.1%,0.1W,,
1010733-546,Resistor,83500 Ω,±0.1%,0.1W,,
1010733-549,Resistor,86600 Ω,±0.1%,0.1W,,
1010733-551,Resistor,88700 Ω,±0.1%,0.1W,,
1010733-553,Resistor,90900 Ω,±0.1%,0.1W,,
1010733-555,Resistor,93100 Ω,±0.1%,0.1W,,
1010733-557,Resistor,95300 Ω,±0.1%,0.1W,,
1010733-560,Resistor,98800 Ω,±0.1%,0.1W,,
1010733-562,Resistor,101000 Ω,±0.1%,0.1W,,
1010733-565,Resistor,105000 Ω,±0.1%,0.1W,,
1010733-569,Resistor,110000 Ω,±0.1%,0.1W,,
1010733-573,Resistor,115000 Ω,±0.1%,0.1W,,
1010733-576,Resistor,120000 Ω,±0.1%,0.1W,,
1010733-579,Resistor,124000 Ω,±0.1%,0.1W,,
1010733-583,Resistor,130000 Ω,±0.1%,0.1W,,
1010733-588,Resistor,138000 Ω,±0.1%,0.1W,,
1010733-593,Resistor,147000 Ω,±0.1%,0.1W,,
1010733-597,Resistor,154000 Ω,±0.1%,0.1W,,
1010733-600,Resistor,160000 Ω,±0.1%,0.1W,,
1010768-29,Resistor,1 MΩ,±1%,1/8W,,
1010784-9,Relay,26 V,,,,
2004003-001,Sense Amplifier,,,,,
2004004-001,NPN Transistor,,,,,
2004004-002,PNP Transistor,,,,,
2004004-003,NPN Transistor,,,,,
2004004-004,PNP Transistor,,,,,
2004004-005,NPN Transistor,,,,,
2004103-001,Diode,,,500mW,,
2004112-001,Zener,9.2 V,,,,
2004112-002,Zener,6.2 V,,,,
2004183-001,Diode,,,,,
2004184-001,NPN Transistor,,,,,
2004897,Diode,,,,,
2005007,Erasable Mem. Core Stack,,,,,
