Signal      Source(s)                       Sink(s)                                                         
C30A        A20-1                           A5-1,A21-1                                                      
C30R        A20-1                           A20-1                                                           
C31A        A20-1                           A21-1                                                           
C31R        A20-1                           A20-1                                                           
C32A        A20-1                           A21-1                                                           
C32M        A20-1                           A15-1                                                           
C32P        A20-1                           A15-1                                                           
C32R        A20-1                           A20-1                                                           
C33A        A20-1                           A21-1                                                           
C33M        A20-1                           A15-1                                                           
C33P        A20-1                           A15-1                                                           
C33R        A20-1                           A20-1                                                           
C34A        A20-1                           A21-1                                                           
C34M        A20-1                           A15-1                                                           
C34P        A20-1                           A15-1                                                           
C34R        A20-1                           A20-1                                                           
C35A        A20-1                           A21-1                                                           
C35M        A20-1                           A15-1                                                           
C35P        A20-1                           A15-1                                                           
C35R        A20-1                           A20-1                                                           
C36A        A20-2                           A21-1                                                           
C36M        A20-2                           A15-1                                                           
C36P        A20-2                           A15-1                                                           
C36R        A20-2                           A20-2                                                           
C37A        A20-2                           A21-1                                                           
C37M        A20-2                           A15-1                                                           
C37P        A20-2                           A5-1                                                            
C37R        A20-2                           A20-2                                                           
C40A        A20-2                           A21-1                                                           
C40M        A20-2                           A15-1                                                           
C40P        A20-2                           A5-1                                                            
C40R        A20-2                           A20-2                                                           
C41A        A20-2                           A21-1                                                           
C41M        A20-2                           A15-1                                                           
C41P        A20-2                           A5-1                                                            
C41R        A20-2                           A20-2                                                           
C42A        A21-3                           A21-1                                                           
C42M        A21-3                           A15-1                                                           
C42P        A21-3                           A5-1                                                            
C42R        A21-3                           A21-3                                                           
C43A        A21-3                           A21-1                                                           
C43M        A21-3                           A15-1                                                           
C43P        A21-3                           A5-1                                                            
C43R        A21-3                           A21-3                                                           
C44A        A21-3                           A21-1                                                           
C44M        A21-3                           A15-1                                                           
C44P        A21-3                           A5-1                                                            
C44R        A21-3                           A21-3                                                           
C45A        A21-3                           A21-1                                                           
C45M        A21-3                           A21-1                                                           
C45P        A21-3                           A21-1                                                           
C45R        A21-3                           A19-1,A21-3                                                     
C45R/       A19-1                           A19-1,A19-2                                                     
C46A        A21-3                           A21-1                                                           
C46M        A21-3                           A21-1                                                           
C46P        A21-3                           A21-1                                                           
C46R        A21-3                           A21-3                                                           
C47A        A21-3                           A21-1                                                           
C47R        A21-3                           A21-3                                                           
C50A        A20-2                           A21-1                                                           
C50R        A20-2                           A20-2                                                           
C51A        A20-2                           A21-1                                                           
C51R        A20-2                           A20-2                                                           
C52A        A20-2                           A21-1                                                           
C52R        A20-2                           A20-2                                                           
C53A        A20-2                           A21-1                                                           
C53R        A20-2                           A20-2                                                           
C54A        A20-2                           A21-1                                                           
C54R        A20-2                           A20-2                                                           
C55A        A20-2                           A21-1                                                           
C55R        A20-2                           A20-2                                                           
C56A        A21-3                           A21-1                                                           
C56R        A21-3                           A21-3                                                           
C57A        A21-3                           A21-1                                                           
C57R        A21-3                           A21-3                                                           
C60A        A21-3                           A21-1                                                           
C60R        A21-3                           A21-3                                                           
CA2/        A20-2,A24-2                     A15-2,A19-1,A20-1                                               
CA3/        A20-1,A24-2                     A15-2,A20-1,A20-2                                               
CA4/        A20-2,A21-3                     A19-2,A20-2,A21-3                                               
CA5/        A21-3                           A19-1,A20-2,A21-3                                               
CA6/        A20-2                           A19-1,A21-3,A24-1                                               
CAD1        A21-1                           A15-2                                                           
CAD2        A21-1                           A15-2                                                           
CAD3        A21-1                           A15-2                                                           
CAD4        A21-1                           A12-2                                                           
CAD5        A21-1                           A12-2                                                           
CAD6        A21-1                           A12-2                                                           
CAG         A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
CAURST      A26                             A18-1                                                           
CBG         A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
CCH05       A16-1                           A16-1                                                           
CCH06       A16-1                           A16-1                                                           
CCH07       A23-2                           A23-2                                                           
CCH10       A17-2                           A17-2                                                           
CCH11       A17-2                           A16-2,A19-2,A23-2                                               
CCH12       A16-2                           A16-1,A16-2,A23-2                                               
CCH13       A22-1                           A18-1,A18-2,A19-1,A19-2,A22-1,A23-2                             
CCH14       A22-1                           A19-1,A19-2,A23-2                                               
CCH33       A19-1                           A13-1,A18-2,A19-1,A23-1                                         
CCH34       A23-1                           A22-1,A22-2                                                     
CCH35       A23-1                           A22-2,A23-1                                                     
CCHG/       A24-1                           A16-1,A16-2,A17-2,A19-1,A22-1,A23-1,A23-2                       
CCS0        A3-2                            A3-2,A5-1,A6-2                                                  
CCS0/       A3-2                            A5-1,A6-2                                                       
CDUCLK      A24-1                           A26                                                             
CDUFAL      A29                             A17-1                                                           
CDUSTB/     A24-2                           A6-2                                                            
CDUXD       A23-2                           A13-1,A20-2                                                     
CDUXDM      A23-2                           A26                                                             
CDUXDP      A23-2                           A26                                                             
CDUXM       A28                             A20-1,A24-2                                                     
CDUXP       A27                             A20-1,A24-2                                                     
CDUYD       A23-2                           A13-1,A20-2                                                     
CDUYDM      A23-2                           A26                                                             
CDUYDP      A23-2                           A26                                                             
CDUYM       A28                             A20-1,A24-2                                                     
CDUYP       A28                             A20-1,A24-2                                                     
CDUZD       A23-2                           A13-1,A20-2                                                     
CDUZDM      A23-2                           A25                                                             
CDUZDP      A23-2                           A25                                                             
CDUZM       A28                             A20-1,A24-2                                                     
CDUZP       A28                             A20-1,A24-2                                                     
CEBG        A7-2                            A15-1                                                           
CFBG        A7-2                            A15-1                                                           
CG11        A20-1                           A20-1                                                           
CG12        A20-1                           A20-2                                                           
CG13        A20-2                           A21-3                                                           
CG14        A20-2                           A20-2                                                           
CG15        A21-3                           A21-3                                                           
CG16        A21-3                           A21-3                                                           
CG21        A20-1                           A20-1                                                           
CG22        A20-1                           A20-1                                                           
CG23        A20-2                           A21-3                                                           
CG24        A20-2                           A20-2                                                           
CG26        A21-3                           A20-2                                                           
CGCWAR      A13-1                           A26                                                             
CGG         A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2,A12-1               
CGMC        A6-1                            A6-1,A7-2                                                       
CH01        A23-1                           A8-1                                                            
CH02        A23-1                           A8-1                                                            
CH03        A23-1                           A8-2                                                            
CH04        A23-1                           A8-2                                                            
CH05        A23-1                           A9-1                                                            
CH06        A23-1                           A9-1                                                            
CH07        A23-1                           A9-2                                                            
CH0705      A23-2                           A16-2                                                           
CH0706      A23-2                           A16-2                                                           
CH0707      A23-2                           A16-2                                                           
CH08        A23-1                           A9-2                                                            
CH09        A23-2                           A10-1                                                           
CH10        A23-2                           A10-1                                                           
CH11        A18-2                           A10-2                                                           
CH1108      A23-2                           A23-1                                                           
CH1109      A19-2                           A23-2                                                           
CH1110      A19-2                           A23-2                                                           
CH1111      A19-2                           A18-2                                                           
CH1112      A19-2                           A18-2                                                           
CH1113      A23-2                           A17-2                                                           
CH1114      A23-2                           A18-2                                                           
CH1116      A23-2                           A18-2                                                           
CH12        A18-2                           A10-2                                                           
CH1207      A16-1                           A16-2                                                           
CH1208      A16-1                           A23-1                                                           
CH1209      A16-2                           A23-2                                                           
CH1210      A16-2                           A23-2                                                           
CH1211      A16-2                           A18-2                                                           
CH1212      A16-2                           A18-2                                                           
CH1213      A16-2                           A17-2                                                           
CH1214      A16-2                           A17-2                                                           
CH1216      A23-2                           A18-2                                                           
CH13        A18-2                           A11-1                                                           
CH1301      A18-2                           A17-2                                                           
CH1302      A18-2                           A17-2                                                           
CH1303      A18-2                           A17-2                                                           
CH1304      A18-2                           A17-2                                                           
CH1305      A19-1                           A17-2                                                           
CH1306      A19-1                           A17-2                                                           
CH1307      A22-1                           A17-2                                                           
CH1308      A19-2                           A17-2                                                           
CH1309      A19-2                           A17-2                                                           
CH1310      A23-2                           A17-2                                                           
CH1311      A18-1                           A17-2                                                           
CH1316      A23-2                           A17-2                                                           
CH14        A18-2                           A11-1                                                           
CH1401      A19-1                           A17-2                                                           
CH1402      A19-1                           A17-2                                                           
CH1403      A19-1                           A17-2                                                           
CH1404      A19-1                           A17-2                                                           
CH1405      A19-1                           A17-2                                                           
CH1406      A19-2                           A17-2                                                           
CH1407      A19-2                           A17-2                                                           
CH1408      A19-2                           A17-2                                                           
CH1409      A19-2                           A17-2                                                           
CH1410      A19-2                           A17-2                                                           
CH1411      A23-2                           A17-2                                                           
CH1412      A23-2                           A17-2                                                           
CH1413      A23-2                           A17-2                                                           
CH1414      A23-2                           A17-2                                                           
CH1416      A23-2                           A17-2                                                           
CH1501      A18-1                           A16-2                                                           
CH1502      A18-1                           A16-2                                                           
CH1503      A18-1                           A16-2                                                           
CH1504      A18-1                           A16-2                                                           
CH1505      A18-1                           A23-1                                                           
CH16        A18-2                           A11-2                                                           
CH1601      A18-1                           A23-1                                                           
CH1602      A18-1                           A23-1                                                           
CH1603      A18-1                           A23-1                                                           
CH1604      A18-1                           A23-1                                                           
CH1605      A18-1                           A23-1                                                           
CH1606      A18-1                           A23-1                                                           
CH1607      A18-1                           A23-1                                                           
CH3201      A17-1                           A16-1                                                           
CH3202      A17-1                           A16-1                                                           
CH3203      A17-1                           A16-1                                                           
CH3204      A17-1                           A16-1                                                           
CH3205      A17-1                           A16-1                                                           
CH3206      A17-1                           A16-1                                                           
CH3207      A17-1                           A16-1                                                           
CH3208      A17-1                           A16-1                                                           
CH3209      A17-1                           A23-2                                                           
