Signal      Source(s)                       Sink(s)                                                         
COARSE      A16-2                           A25                                                             
COMACT      A16-2                           A26                                                             
CON1        A3-1                            A3-1                                                            
CON2        A3-1                            A3-1,A13-1                                                      
CON3        A13-1                           A13-1                                                           
CQG         A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
CSG         A7-1                            A12-2,A19-1                                                     
CSQG        A3-1                            A3-1                                                            
CT          A2-1                            A2-1,A21-2,A24-2                                                
CT/         A2-1                            A2-1,A3-1,A7-1,A7-2,A13-1,A24-1                                 
CTLSAT      A29                             A17-1                                                           
CTPLS/      A13-1,A24-2                     A13-1                                                           
CTROR       A21-3                           A13-1                                                           
CTROR/      A21-3                           A21-2,A21-3                                                     
CUG         A7-1                            A7-2,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
CXB0/       A21-3                           A19-1,A20-1,A20-2,A21-3                                         
CXB1/       A14-2                           A20-1,A20-2                                                     
CXB2/       A20-1                           A20-1,A20-2,A21-3                                               
CXB3/       A20-2                           A20-1,A20-2,A21-3                                               
CXB4/       A20-2                           A20-1,A20-2,A21-3                                               
CXB5/       A21-3                           A20-1,A20-2,A21-3                                               
CXB6/       A21-3                           A20-1,A20-2,A21-3                                               
CXB7/       A20-1                           A19-1,A20-1,A20-2,A21-3                                         
CYL/        A12-2                           A7-1                                                            
CYR/        A12-2                           A7-1                                                            
CZG         A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
DAS0        A3-2                            A3-2,A5-1,A5-2,A6-2                                             
DAS0/       A3-2                            A5-1                                                            
DAS1        A3-2                            A5-2,A6-2                                                       
DAS1/       A3-2                            A3-2,A5-2,A6-2                                                  
DATA/       A22-1,A22-2,A23-1               A22-1                                                           
DBLTST      77                              A3-1                                                            
DCA0        A3-2                            A3-2,A6-2                                                       
DCS0        A3-2                            A3-2,A6-2                                                       
DIM0        A3-2                            A3-2                                                            
DIM0/       A3-2                            A6-2                                                            
DINC        A21-1                           A6-2,A21-1                                                      
DINC/       A21-1                           A6-2                                                            
DINCNC/     A21-1                           
DISDAC      A16-2                           A25                                                             
DIV/        A4-1                            A4-1,A5-1                                                       
DIVSTG      A4-1                            A6-1                                                            
DKBSNC      A29                             A22-1                                                           
DKCTR1      A22-1                           A22-1                                                           
DKCTR1/     A22-1                           A22-1                                                           
DKCTR2      A22-1                           A22-1                                                           
DKCTR2/     A22-1                           A22-1                                                           
DKCTR3      A22-1                           A22-1                                                           
DKCTR3/     A22-1                           A22-1                                                           
DKCTR4      A22-1                           A22-1,A24-1                                                     
DKCTR4/     A22-1                           A22-1,A24-1                                                     
DKCTR5      A22-1                           A22-1,A24-1                                                     
DKCTR5/     A22-1                           A22-1,A24-1                                                     
DKDAT/      A22-1                           A22-1                                                           
DKDATA      A22-1                           A28                                                             
DKDATB      A22-1                           A27                                                             
DKEND       A29                             A18-2                                                           
DKSTRT      A29                             A22-1                                                           
DLKCLR      A22-1                           A22-1                                                           
DLKPLS      A13-1                           A15-2                                                           
DLKRPT      A18-2                           A13-1,A18-2                                                     
DNRPTA      A15-2                           A15-1                                                           
DOFILT      A13-1                           A13-1                                                           
DOSCAL      77                              A21-2                                                           
DRPRST      A15-2                           A13-1                                                           
DV0         A4-1                            A4-1,A6-2                                                       
DV0/        A4-1                            A4-2                                                            
DV1         A4-1                            A4-1,A5-2                                                       
DV1/        A4-1                            A4-2,A5-2                                                       
DV1376      A4-1                            A4-1,A6-2                                                       
DV1376/     A4-1                            A6-1                                                            
DV1B1B      A5-2                            A5-1,A5-2                                                       
DV376       A4-1                            A4-1                                                            
DV376/      A4-1                            A6-1                                                            
DV3764      A4-1                            A14-1                                                           
DV4         A4-1                            A4-2,A5-2                                                       
DV4/        A4-2                            A4-2,A5-2,A6-1,A6-2                                             
DV4B1B      A5-2                            A5-2,A6-2                                                       
DVST        A5-1                            A4-1                                                            
DVST/       A4-1                            A4-1                                                            
DVXP1       A6-1                            A6-1,A11-1                                                      
DXCH0       A3-2                            A3-2,A5-1,A5-2,A6-2                                             
E5          A23-2                           A15-1                                                           
E6          A23-2                           A15-1                                                           
E7/         A23-2                           A15-1,A23-2                                                     
EAC/        A11-2                           A7-2                                                            
EAD09       A12-1                           A7-2,A12-1                                                      
EAD09/      A12-1                           A7-2                                                            
EAD10       A12-1                           A7-2,A12-1                                                      
EAD10/      A12-1                           
EAD11       A12-1                           A7-2,A12-1                                                      
EAD11/      A12-1                           A7-2                                                            
EB10        A15-1                           A12-1                                                           
EB10/       A15-1                           A15-1                                                           
EB11        A15-1                           
EB11/       A15-1                           A12-1,A15-1                                                     
EB9         A15-1                           A12-1                                                           
EB9/        A15-1                           A15-1                                                           
EDOP/       A12-2                           A7-1                                                            
EDSET       A2-2                            A5-1                                                            
ELSNCM      A24-1                           A26                                                             
ELSNCN      A24-1                           A26                                                             
EMS+        A19-1                           A27                                                             
EMS-        A19-1                           A27                                                             
EMSD        A19-1                           A13-1,A21-3                                                     
END         A18-2                           A22-1                                                           
ENERIM      A16-2                           A25                                                             
ENEROP      A16-2                           A25                                                             
ERAS        A14-1                           A14-1                                                           
ERAS/       A14-1                           A14-1                                                           
ERRST       A18-1                           A13-1                                                           
EVNSET      A2-1                            A2-1                                                            
EVNSET/     A2-1                            A2-2,A2-3                                                       
EXST0/      A3-2                            A3-2,A4-2                                                       
EXST1/      A3-2                            A4-2                                                            
EXT         A6-2                            A3-1                                                            
EXTPLS      A12-1                           A3-1,A12-1                                                      
F01A        A2-2                            A2-2,A24-1                                                      
F01B        A2-2                            A2-2,A24-1                                                      
F01C        A2-2                            
F01D        A2-2                            
F02A        A1-1                            A1-1                                                            
F02B        A1-1                            A24-1                                                           
F03A        A1-1                            A1-1                                                            
F03B        A1-1                            A1-2                                                            
F03B/       A1-2                            A24-1                                                           
F04A        A1-1                            A1-1,A19-1                                                      
F04B        A1-1                            A24-1,A24-2                                                     
F04B/       A24-2                           A24-2                                                           
F05A        A1-1                            A1-1,A24-1                                                      
F05A/       A24-1                           A13-1,A17-1,A19-1,A19-2,A24-1                                   
F05B        A1-1                            A24-1                                                           
F05B/       A24-1                           A13-1,A17-1,A19-1,A24-1,A24-2                                   
F05D        A24-2                           A17-1                                                           
F06A        A1-1                            A1-1                                                            
F06B        A1-1                            A19-2                                                           
F06B/       A19-2                           A24-2                                                           
F07A        A1-1                            A1-1,A1-2,A13-1                                                 
F07A/       A1-2                            A24-1                                                           
F07B        A1-1                            A19-2,A24-1                                                     
F07B/       A24-1                           A13-1,A24-1                                                     
F07C/       A24-2                           A19-2,A24-2                                                     
F07D/       A24-2                           A19-2                                                           
F08A        A1-1                            A1-1                                                            
F08B        A1-1                            A13-1                                                           
F08B/       A13-1                           A24-2                                                           
F09A        A1-1                            A1-1,A24-2                                                      
F09A/       A24-2                           A18-1                                                           
F09B        A1-1                            A18-2,A19-2                                                     
F09B/       A19-2                           A18-1,A19-2                                                     
F09D        A24-2                           A18-1                                                           
F10A        A1-1                            A1-1,A13-1,A18-2,A19-2                                          
F10A/       A19-2                           A18-2,A19-2                                                     
F10AS0      A18-2                           A18-2                                                           
F10B        A1-1                            A13-1,A19-2                                                     
F10B/       A19-2                           A19-2                                                           
F11         A15-1                           A15-2                                                           
F11/        A15-1                           A15-1,A15-2                                                     
F11A        A1-1                            A1-1                                                            
F11B        A1-1                            
F12         A15-1                           A15-2                                                           
F12/        A15-1                           A15-1,A15-2                                                     
F12A        A1-1                            A1-1                                                            
F12B        A1-1                            A22-1                                                           
F12B/       A22-1                           A22-1                                                           
F13         A15-1                           A15-1                                                           
F13/        A15-1                           
F13A        A1-1                            A1-1                                                            
F13B        A1-1                            
F14         A15-1                           A15-1                                                           
F14/        A15-1                           
F14A        A1-1                            A1-1                                                            
F14B        A1-1                            A13-1                                                           
F14H        A22-1                           A13-1                                                           
F15         A15-1                           A15-1,A15-2                                                     
F15/        A15-1                           A15-2                                                           
F15A        A1-1                            A1-1                                                            
F15B        A1-1                            
F16         A15-1                           A15-1,A15-2                                                     
F16/        A15-1                           A15-2                                                           
F16A        A1-1                            A1-1                                                            
F16B        A1-1                            
F17A        A1-1                            A1-1,A1-2,A18-1,A24-1                                           
F17A/       A18-1                           A18-1                                                           
F17B        A1-1                            A18-1,A24-1                                                     
F17B/       A18-1                           A18-1                                                           
F18A        A1-2                            A1-2                                                            
F18A/       A1-2                            A1-2                                                            
F18AX       A1-2                            A23-1,A24-2                                                     
F18B        A1-2                            A23-1                                                           
F18B/       A23-1                           
F19A        A1-2                            A1-2                                                            
F19B        A1-2                            
F20A        A1-2                            A1-2                                                            
F20B        A1-2                            
F21A        A1-2                            A1-2                                                            
F21B        A1-2                            
F22A        A1-2                            A1-2                                                            
F22B        A1-2                            
F23A        A1-2                            A1-2                                                            
F23B        A1-2                            
F24A        A1-2                            A1-2                                                            
F24B        A1-2                            
F25A        A1-2                            A1-2                                                            
F25B        A1-2                            
F26A        A1-2                            A1-2                                                            
F26B        A1-2                            
F27A        A1-2                            A1-2                                                            
F27B        A1-2                            
F28A        A1-2                            A1-2                                                            
F28B        A1-2                            
F29A        A1-2                            A1-2                                                            
F29B        A1-2                            
F30A        A1-2                            A1-2                                                            
F30B        A1-2                            
F31A        A1-2                            A1-2                                                            
F31B        A1-2                            
F32A        A1-2                            A1-2                                                            
F32B        A1-2                            
F33A        A1-2                            A1-2                                                            
F33B        A1-2                            
F5ASB0      A19-1                           A19-1,A24-2                                                     
F5ASB0/     A19-1,A24-2                     A19-1,A23-1                                                     
F5ASB2      A19-1,A19-2                     A19-1,A23-1,A24-2                                               
F5ASB2/     A19-1,A24-2                     A18-2,A19-1,A19-2,A23-2                                         
F5BSB2      A19-1                           A19-1                                                           
F5BSB2/     A19-1                           A18-2                                                           
F7CSB1/     A24-2                           A19-2                                                           
FB11        A15-1                           
FB11/       A15-1                           A15-1                                                           
FB12        A15-1                           
FB12/       A15-1                           A15-1                                                           
FB13        A15-1                           
FB13/       A15-1                           A15-1                                                           
FB14        A15-1                           
FB14/       A15-1                           A15-1                                                           
FB16        A15-1                           
FB16/       A15-1                           A15-1                                                           
FETCH0      A21-2                           A5-1,A21-2                                                      
FETCH0/     A21-2                           A5-2                                                            
FETCH1      A21-2                           A6-2,A21-2                                                      
FF1109      A19-2                           A24-2                                                           
FF1109/     A19-2                           A19-2                                                           
FF1110      A19-2                           A24-1                                                           
FF1110/     A19-2                           A19-2                                                           
FF1111      A19-2                           A24-1                                                           
FF1111/     A19-2                           A19-2                                                           
FF1112      A19-2                           A24-1                                                           
FF1112/     A19-2                           A19-2                                                           
FILTIN      A13-1                           B8                                                              
FLASH       A24-2                           A16-2,A24-2                                                     
FLASH/      A24-2                           
FLTOUT      B8                              A13-1                                                           
FNERAS/     A14-1                           A14-1                                                           
FREFUN      A28                             A17-1                                                           
FS01        A2-2                            A2-2,A13-1                                                      
FS01/       A2-2                            A1-1,A2-2                                                       
FS02        A1-1                            A1-1,A24-1                                                      
FS02A       A1-1                            
FS03        A1-1                            A1-1,A24-1                                                      
FS03A       A1-1                            
FS04        A1-1                            A1-1,A24-1                                                      
FS04A       A1-1                            
FS05        A1-1                            A1-1,A24-1                                                      
FS05/       A24-1                           A24-1,A24-2                                                     
FS05A       A1-1                            
FS06        A1-1                            A1-1,A24-2                                                      
FS06/       A1-1                            A24-2                                                           
FS07        A1-1                            A1-1                                                            
FS07/       A1-1                            A1-1,A24-2                                                      
FS07A       A1-1                            A24-1,A24-2                                                     
FS08        A1-1                            A1-1,A24-2                                                      
FS08/       A1-1                            A24-2                                                           
FS09        A1-1                            A1-1,A3-1,A24-2                                                 
FS09/       A24-2                           A24-2                                                           
FS10        A1-1                            A1-1,A3-1,A13-1,A19-2                                           
FS11        A1-1                            A1-1                                                            
FS12        A1-1                            A1-1                                                            
FS13        A1-1                            A1-1,A22-1                                                      
FS13/       A22-1                           A22-1                                                           
FS14        A1-1                            A1-1,A22-1                                                      
FS15        A1-1                            A1-1                                                            
FS16        A1-1                            A1-1,A24-2                                                      
FS17        A1-1                            A1-1,A21-2,A24-2                                                
FS18        A1-2                            A1-2                                                            
FS19        A1-2                            A1-2                                                            
FS20        A1-2                            A1-2                                                            
FS21        A1-2                            A1-2                                                            
FS22        A1-2                            A1-2                                                            
FS23        A1-2                            A1-2                                                            
FS24        A1-2                            A1-2                                                            
FS25        A1-2                            A1-2                                                            
FS26        A1-2                            A1-2                                                            
FS27        A1-2                            A1-2                                                            
FS28        A1-2                            A1-2                                                            
FS29        A1-2                            A1-2                                                            
FS30        A1-2                            A1-2                                                            
FS31        A1-2                            A1-2                                                            
FS32        A1-2                            A1-2                                                            
FS33        A1-2                            A1-2                                                            
FUTEXT      A3-1                            A3-1,A23-1                                                      
G01         A8-1                            A12-1                                                           
G01/        A8-1                            A8-1,A11-2                                                      
G01A        A12-2                           A13-1                                                           
G01A/       A12-1                           A12-1,A12-2,A13-1                                               
G01ED       A12-2                           A8-1                                                            
G02         A8-1                            A12-1                                                           
G02/        A8-1,A12-1                      A8-1,A12-1                                                      
G02ED       A12-2                           A8-1                                                            
G03         A8-2                            A12-1                                                           
G03/        A8-1,A8-2,A12-1                 A8-2,A12-1                                                      
G03ED       A12-2                           A8-1                                                            
G04         A8-2                            A12-1                                                           
G04/        A8-2                            A8-1,A8-2                                                       
G04ED       A12-2                           A8-2                                                            
G05         A9-1                            A12-1                                                           
G05/        A8-2,A9-1                       A8-1,A9-1                                                       
G05ED       A12-2                           A8-2                                                            
G06         A9-1                            A12-1                                                           
G06/        A8-2,A9-1                       A8-2,A9-1                                                       
G06ED       A12-2                           A8-2                                                            
G07         A9-2                            A12-1                                                           
G07/        A9-1,A9-2                       A8-2,A9-2                                                       
G07ED       A12-2                           A9-1                                                            
G08         A9-2                            A12-1                                                           
G08/        A9-2                            A9-1,A9-2                                                       
G09         A10-1                           A12-1                                                           
G09/        A10-1                           A9-1,A10-1                                                      
G10         A10-1                           A12-1                                                           
G10/        A10-1                           A9-2,A10-1                                                      
G11         A10-2                           A12-1                                                           
G11/        A10-2                           A9-2,A10-2                                                      
G12         A10-2                           A12-1                                                           
G12/        A10-2                           A10-1,A10-2                                                     
G13         A11-1                           A12-1                                                           
G13/        A11-1                           A10-1,A11-1                                                     
G14         A11-1                           A12-1                                                           
G14/        A11-1                           A10-2,A11-1                                                     
G15         A11-2                           A12-1                                                           
G15/        A11-2                           A10-2,A11-2                                                     
G16         A11-2                           
G16/        A11-2                           A11-2                                                           
G16A/       A12-1                           A12-1,A13-1                                                     
G16SW/      A13-1                           A11-2                                                           
G2LSG       A7-2                            A7-1,A7-2                                                       
G2LSG/      A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-2                           
GATEX/      A27                             A19-2                                                           
GATEY/      A28                             A19-2                                                           
GATEZ/      A29                             A19-2                                                           
GCAPCL      A28                             A17-1                                                           
GEM01       A8-1                            B12                                                             
GEM02       A8-1                            B12                                                             
GEM03       A8-2                            B12                                                             
GEM04       A8-2                            B12                                                             
GEM05       A9-1                            B12                                                             
GEM06       A9-1                            B12                                                             
GEM07       A9-2                            B12                                                             
GEM08       A9-2                            B12                                                             
GEM09       A10-1                           B12                                                             
GEM10       A10-1                           B12                                                             
GEM11       A10-2                           B12                                                             
GEM12       A10-2                           B12                                                             
GEM13       A11-1                           B12                                                             
GEM14       A11-1                           B12                                                             
GEM16       A11-2                           B12                                                             
GEMP        A12-1                           B12                                                             
GEQZRO/     A12-1                           A4-1                                                            
GINH        A12-2                           A7-1                                                            
GNHNC       A5-1                            A21-2                                                           
GNZRO       A12-1                           A12-1                                                           
GOJ1        A3-2                            A2-2,A3-2,A5-1,A14-1                                            
GOJ1/       A3-2                            A5-1                                                            
GOJAM       A2-2,A24-2                      A2-3,A3-1,A4-1,A5-1,A6-2,A11-1,A12-1,A13-1,A14-1,A15-1,A15-2,A16-1,A16-2,A17-1,A17-2,A18-2,A19-1,A21-2,A22-1,A23-1
GOJAM/      A2-1,A2-2                       A2-2,A24-2                                                      
GOSET/      A2-2                            A2-2                                                            
GTONE       A24-2                           A19-1                                                           
GTRST       A24-2                           A11-1                                                           
GTRST/      A11-1                           A18-2                                                           
GTSET       A24-2                           A19-1                                                           
GTSET/      A24-2                           A18-2,A19-1                                                     
GUIREL      A27                             A17-1                                                           
GYENAB      A19-2                           A25                                                             
GYROD       A19-2                           A13-1,A21-3                                                     
GYRRST      A19-2                           A29                                                             
GYRSET      A19-2                           A29                                                             
GYXM        A19-2                           A29                                                             
GYXP        A19-2                           A29                                                             
GYYM        A19-2                           A28                                                             
GYYP        A19-2                           A28                                                             
GYZM        A19-2                           A27                                                             
GYZP        A19-2                           A27                                                             
HERB        A18-2                           A18-2                                                           
HIGH0/      A24-1                           A22-1,A22-2                                                     
HIGH1/      A24-1                           A22-2                                                           
HIGH2/      A24-1                           A22-2                                                           
HIGH3/      A24-1                           A23-1                                                           
HIMOD       A15-2                           
HNDRPT      A17-1                           A15-1                                                           
HOLFUN      A28                             A17-1                                                           
IC1         A3-2                            A3-2,A5-1                                                       
IC10        A3-2                            A5-1                                                            
IC10/       A3-2                            A5-1                                                            
IC11        A3-2                            A3-2,A6-2,A24-2                                                 
IC11/       A24-2                           A5-2                                                            
IC12        A3-2                            A4-2,A5-2                                                       
IC12/       A3-2                            A3-2,A5-2                                                       
IC13        A3-2                            A4-2,A5-2                                                       
IC13/       A3-2                            A3-2                                                            
IC14        A3-2                            A5-1,A5-2                                                       
IC15        A3-2                            A6-2                                                            
IC15/       A3-2                            A3-2,A5-1,A12-1                                                 
IC16        A3-2                            A3-2,A5-1,A5-2                                                  
IC16/       A3-2                            A3-2,A5-2                                                       
IC17        A3-2                            A6-2                                                            
IC2         A3-2                            A3-2,A5-1,A5-2                                                  
IC2/        A3-2                            A5-1                                                            
IC3         A3-2                            A5-1,A5-2                                                       
IC3/        A3-2                            A3-2                                                            
IC4         A3-2                            A3-2,A5-1,A5-2                                                  
IC4/        A3-2                            A3-2                                                            
IC5         A3-2                            A3-2,A5-2                                                       
IC5/        A3-2                            A5-2                                                            
IC6         A3-2                            A3-2,A6-2                                                       
IC7         A3-2                            A3-2,A6-2                                                       
IC8/        A3-2                            A5-2                                                            
IC9         A3-2                            A5-2,A6-2                                                       
IC9/        A3-2                            A3-2                                                            
ICNT        A22-1                           A22-1                                                           
IHENV       A14-1                           
IIP         A3-1                            A3-1,A13-1                                                      
IIP/        A3-1                            A3-1,A13-1                                                      
IL01        A6-1                            
IL01/       A6-1                            
IL02        A6-1                            
IL02/       A6-1                            
IL03        A6-1                            
IL03/       A6-1                            
IL04        A6-1                            
IL04/       A6-1                            
IL05        A6-1                            
IL05/       A6-1                            
IL06        A6-1                            
IL06/       A6-1                            
