Signals with no source:
=======================
CINORM      A2-3,A7-2                       A7-2                                                            
CLROPE      A9-1,A14-1                      B16                                                             
CO04        A8-1,A10-2                      A8-2                                                            
CO12        A10-1,A10-2                     A10-2                                                           
CTPLS/      A13-1,A24-2                     A13-1                                                           
DATA/       A22-1,A22-2,A23-1               A22-1                                                           
F5ASB0/     A19-1,A24-2                     A19-1,A23-1                                                     
F5ASB2      A19-1,A19-2                     A19-1,A23-1,A24-2                                               
F5ASB2/     A19-1,A24-2                     A18-2,A19-1,A19-2,A23-2                                         
G02/        A8-1,A12-1                      A8-1,A12-1                                                      
G03/        A8-1,A8-2,A12-1                 A8-2,A12-1                                                      
G05/        A8-2,A9-1                       A8-1,A9-1                                                       
G06/        A8-2,A9-1                       A8-2,A9-1                                                       
G07/        A9-1,A9-2                       A8-2,A9-2                                                       
GOJAM       A2-2,A24-2                      A2-3,A3-1,A4-1,A5-1,A6-2,A11-1,A12-1,A13-1,A14-1,A15-1,A15-2,A16-1,A16-2,A17-1,A17-2,A18-2,A19-1,A21-2,A22-1,A23-1
GOJAM/      A2-1,A2-2                       A2-2,A24-2                                                      
INKBT1      A3-1,A21-2                      A3-1                                                            
L16/        A4-2,A11-2                      A11-2                                                           
MONEX/      A5-1,A6-2                       A6-1                                                            
P03         A2-2,A5-1                       A2-2,A13-1                                                      
RA/         A4-2,A5-1,A5-2                  A7-2                                                            
RB/         A4-2,A5-1,A5-2,A6-1,A6-2        A7-2                                                            
RB1/        A4-2,A6-2                       A14-2                                                           
RC/         A4-2,A5-1,A5-2,A6-1,A6-2        A7-2                                                            
RG/         A5-1,A5-2,A6-1                  A7-2                                                            
RGG/        A7-1,A7-2                       A7-2,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
RL/         A5-1,A5-2                       A7-2                                                            
RL01/       A8-1,A15-2                      A8-1                                                            
RL02/       A8-1,A15-2                      A8-1                                                            
RL03/       A8-2,A12-2,A15-2                A8-2                                                            
RL04/       A8-2,A12-2                      A8-2                                                            
RL05/       A9-1,A12-2                      A9-1                                                            
RL06/       A9-1,A12-2                      A9-1                                                            
RL09/       A10-1,A15-1                     A10-1                                                           
RL10/       A10-1,A15-1                     A10-1                                                           
RL11/       A10-2,A15-1                     A10-2                                                           
RL12/       A10-2,A15-1                     A10-2                                                           
RL13/       A11-1,A15-1                     A11-1                                                           
RL14/       A11-1,A15-1                     A11-1                                                           
RL15/       A10-2,A11-2                     A11-2                                                           
RL16/       A11-2,A15-1                     A9-1,A11-2                                                      
RLG/        A7-1,A7-2                       A7-2,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
ROPER       A9-2,A15-2                      B16                                                             
ROPES       A9-2,A15-2                      B16                                                             
ROPET       A9-2,A15-2                      B16                                                             
RPTSET      A3-1,A6-2                       A3-1                                                            
RSC/        A4-2,A12-1                      A4-2,A14-2                                                      
RU/         A5-1,A5-2,A6-1,A6-2             A7-2                                                            
RZ/         A5-1,A5-2,A6-2                  A7-2                                                            
SA01        B13,B14                         A8-1                                                            
SA02        B13,B14                         A8-1                                                            
SA03        B13,B14                         A8-2                                                            
SA04        B13,B14                         A8-2                                                            
SA05        B13,B14                         A9-1                                                            
SA06        B13,B14                         A9-1                                                            
SA07        B13,B14                         A9-2                                                            
SA08        B13,B14                         A9-2                                                            
SA09        B13,B14                         A10-1                                                           
SA10        B13,B14                         A10-1                                                           
SA11        B13,B14                         A10-2                                                           
SA12        B13,B14                         A10-2                                                           
SA13        B13,B14                         A11-1                                                           
SA14        B13,B14                         A11-1                                                           
SA16        B13,B14                         A11-2                                                           
SAP         B13,B14                         A12-1                                                           
STNDBY      A18-1,A25                       A18-1                                                           
SUMA02/     A8-1,A11-1                      A8-1,A15-1                                                      
SUMA04/     A8-2,A11-1                      A8-2                                                            
SUMA07/     A9-2,A11-2                      A9-2                                                            
SUMA12/     A10-2,A11-2                     A10-2,A15-1                                                     
T01         A2-3,A24-2                      A2-3,A4-1,A5-1,A6-1,A14-1                                       
T02/        A2-3,A24-2                      A2-3,A4-2,A5-1,A5-2,A6-1,A12-2,A14-1,A21-2,A24-1                
T03         A2-1,A2-3                       A2-3,A6-1,A12-2,A14-1                                           
T03/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-2,A12-1,A13-1,A14-1                      
T04/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-1,A6-2,A13-1,A14-1                       
T05/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A14-1                                       
T07         A2-3,A3-1                       A2-3,A6-1,A12-2,A14-1                                           
T07/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-2,A14-1,A21-2,A23-2                      
T09         A2-3,A24-2                      A2-3,A6-1,A14-1                                                 
T10/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-2,A7-2,A13-1,A14-1,A21-2                 
T7PHS4      A23-1,A23-2                     A23-2                                                           
TMZ/        A4-2,A5-1,A5-2                  A4-1                                                            
TOV/        A5-2,A6-1                       A4-1                                                            
TSGN/       A4-2,A5-1,A5-2                  A4-1                                                            
WA/         A5-1,A5-2,A6-2                  A7-1                                                            
WB/         A5-1,A5-2,A6-1                  A7-1                                                            
WG/         A4-2,A5-1,A6-1,A6-2,A12-1       A7-2,A12-2                                                      
WL/         A4-2,A5-2,A6-1                  A7-1                                                            
WL11/       A10-2,A14-2                     A3-1,A4-1,A10-1,A10-2,A12-2,A15-1                               
WL16        A9-1,A11-2                      A2-3,A11-2,A14-2,A24-2                                          
WL16/       A11-2,A14-2                     A2-3,A3-1,A4-1,A8-1,A11-1,A11-2,A15-1                           
WS/         A5-2,A6-2                       A7-1                                                            
WSC/        A6-1,A6-2                       A14-2                                                           
WY/         A4-2,A5-1,A5-2,A6-1             A7-1                                                            
WY12/       A5-1,A5-2                       A7-1                                                            
WYD/        A5-2,A6-1                       A7-1                                                            
WZ/         A5-1,A5-2,A6-1                  A7-1                                                            
XB0         A14-2,A17-2                     A14-2,A21-3                                                     
XT0/        A13-1,A14-2                     A5-2,A7-1,A7-2,A14-2,A15-2,A16-1,A23-2,A24-1                    
XT1/        A13-1,A14-2                     A4-1,A14-2,A15-2,A16-2,A17-2,A18-1,A22-1                        
Z15/        A5-2,A11-2                      A11-2                                                           
Z16/        A5-2,A11-2                      A11-2                                                           
