-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
1							2018605-071	STABLE MEMBER ASSEMBLY	12
	1						2018605-061	STABLE MEMBER ASSEMBLY	11
		1					2018605-051	STABLE MEMBER ASSEMBLY	10
			1				2018605-041	STABLE MEMBER ASSEMBLY	9
AR	AR	AR	AR	AR	AR	AR	1008930	GREASE, MOLYBDENUM DISULFIDE	8
				1			2018605-031	STABLE MEMBER ASSEMBLY	7
1	1	1	1	1	1		2018614-021	IGSA RESOLVER, INNER AXIS	6
1	1	1	1	1	1		2018611-021	IGSA TORQUE MOTOR INNER AXIS	5
					1		2018605-021	STABLE MEMBER ASSEMBLY	4
						1	2018614-011	IGSA RESOLVER, INNER AXIS	3
						1	2018611-011	IGSA TORQUE MOTOR INNER AXIS	2
						1	2018605-011	STABLE MEMBER ASSEMBLY	1
									
								PROOFED	
