0	DRAWING	TITLE	FIND
X	1014635	SCHEMATIC, ELEC	REF
			
AR	MIL-F-14256 TYPE AR	FLUX	35
AR	QQ-S-571 SN60	SOLDER	34
4	1011495-1	WASHER INSULATION	33
AR	1006776-22	INSULATION SLEEVING	32
AR	-20	INSULATION SLEEVING	31
AR	1006787-2	WIRE, ELECTRICAL	30
AR	1006757-1	WIRE, ELECTRICAL	29
2	1010324	TRANSFORMER	28
1	1010291-4	TRANSFORMER	27
1	1010364-251	RESISTOR	26
2	1010389-49	RESISTOR	25
2	-1	RESISTOR	24
1	1010363-827	RESISTOR	23
1	-635	RESISTOR	22
1	-603	RESISTOR	21
1	-501	RESISTOR	20
1	-381	RESISTOR	19
1	-251	RESISTOR	18
1	-75	RESISTOR	17
1	1010269-2	TRANSISTOR (MATCHED PR)	16
1	1010397-1	TRANSISTOR	15
1	1010472-2	CONNECTOR, ELEC RECEP	14
4	1010436-2	RELAY	13
4	1010384	DIODE	12
1	1010393-017	CAPACITOR	11
2	1006755-134	CAPACITOR	10
2	1010279-216	CAPACITOR	9
1	1010264-40	CAPACITOR	8
2	1010375-25	CAPACITOR	7
1	1006755-89	CAPACITOR	6
1	1010393-029	CAPACITOR	5
3	1014632	SPACER	4
1	1014634	WIRING BOARD, BOTTOM	3
1	1014633	WIRING BOARD, TOP	2
1	1014631	HOUSING	1
			
		PROOFED	
