-21	-11	DRAWING	TITLE	FIND	STRIKE
X		2005929	SCHEMATIC	REF	
	X	2005919	SCHEMATIC	REF	
9		2004004-006	TRANSISTOR POTTED	44	
6		2004184-001	TRANSISTOR POTTED	43	
15		2004183-001	DIODE	42	
AR	AR	1006776-25	INSULATION, SLEEVING	41	
4	4	NAS620A-2	WASHER, FLAT	40	
19	19	2004074	WASHER, INSULATOR	39	
AR	AR	1006757-12	WIRE, ELECTRICAL	38	
16	16	2004003-001	INTEGRATED SENSE AMPL	37	
16	16	1006293	TRANSFORMER	36	
	6	2004004-001	TRANSISTOR POTTED	35	
3	12	2004004-002	TRANSISTOR POTTED	34	
2	2	2004112-002	DIODE	33	
	15	2004103-001	DIODE	32	
4	4	1006755-69	CAPACITOR	31	
2	2	1006750-63	RESISTOR	30	
1	1	SEE NOTES 12 & 22	RESISTOR	29	
1	1	1006750-43	RESISTOR	28	
2	2	1006750-12	RESISTOR	27	
1	1	SEE NOTES 12 & 22	RESISTOR	26	
1	1	1006750-25	RESISTOR	25	
1	1	SEE NOTES 12 & 22	RESISTOR	24	
3	3	1006750-36	RESISTOR	23	
1	1	1006750-15	RESISTOR	22	
9	9	1006750-49	RESISTOR	21	
13	13	1006750-39	RESISTOR	20	
19	19	1006750-32	RESISTOR	19	
16	16	SEE NOTES 12 & 22	RESISTOR	18	
34	34	1006750-24	RESISTOR	17	
32	32	1006750-42	RESISTOR	16	
AR	AR	1006776-22	INSULATION, SLEEVING	15	
AR	AR	1006776-21	INSULATION, SLEEVING	14	
AR	AR	1006757-8	WIRE, ELECTRICAL	13	
AR	AR	1006757-1	WIRE, ELECTRICAL	12	
1	1	2004711	INSULATOR B	11	
1	1	2004710	INSULATOR A	10	
1	1	2004039	TERMINAL, THREADED	9	
4	4	1006783-10	SCREW, BUTTON HEAD	8	
2	2	MS16633-4015	RING, RETAINING, EXTERNAL E	7	
2	2	2004984-003	WASHER, FLAT	6	
2	2	2004984-001	WASHER, FLAT	5	
2	2	1004579-1	SCREW, JACKING	4	
1	1	2003005-011	MATRIX ASSY	3	
1	1	2004044	COVER	2	
1	1	2003044-021	HEADER HOUSING ASSY	1	
					
X	X	X	PROOFED	REF	X
