-11	DRAWING	TITLE	FIND	STRIKE
X	1006140	SCHEMATIC	REF	
AR	1006757-24	WIRE, ELECTRICAL .010 DIA	43	
1	1006291	THERMISTOR	42	
1	1004564	SHIELD	41	X
1	SEE NOTE 12	RESISTOR, FIXED FILM	40	
1	SEE NOTE 12	RESISTOR, FIXED FILM	39	
1	1006755-31	CAPACITOR, FIXED, TANTALUM	38	
1	SEE NOTE 12	CRYSTAL UNIT, QUARTZ	37	
1	1006714	RESISTOR, FIXED, WW	36	
1	1010406-12	COIL, RF, CHOKE	35	
1	1006846	COIL, RF, VARIABLE	34	
2	1006751	SEMICONDUCTOR DEVICE, DIODE	33	
1	SEE NOTE 12	SEMICONDUCTOR DEVICE, VAR CAP	32	
1	SEE NOTE 12	CAPACITOR, FIXED	31	
1	1006793-83	CAPACITOR, FIXED	30	
4	1006793-87	CAPACITOR, FIXED	29	
1	SEE NOTE 12	CAPACITOR, FIXED	28	
1	1006750-56	RESISTOR, FIXED FILM	27	
1	1006750-39	RESISTOR, FIXED FILM	26	
1	1006750-1	RESISTOR, FIXED FILM	25	
1	SEE NOTE 12	RESISTOR, FIXED FILM	24	
1	SEE NOTE 12	RESISTOR, FIXED FILM	23	
2	SEE NOTE 12	RESISTOR, FIXED FILM	22	
1	1006750-60	RESISTOR, FIXED FILM	21	
1	1006750-42	RESISTOR, FIXED FILM	20	
1	1006750-82	RESISTOR, FIXED FILM	19	
1	1006750-8	RESISTOR, FIXED FILM	18	
1	1006750-82	RESISTOR, FIXED FILM	17	
2	SEE NOTE 12	RESISTOR, FIXED FILM	16	
3	SEE NOTE 12	RESISTOR, FIXED FILM	15	
2	1006752	TRANSISTOR, SILICON	14	
1	SEE NOTE 12	THERMISTOR	13	
1	1006715-1	THERMISTOR	12	
AR	1006776-22	INSULATION, SLEEVING	11	
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	10	
AR	1006776-25	INSULATION, SLEEVING	9	
AR	1006757-12	WIRE, ELECTRICAL .010 DIA	8	
AR	SEE NOTE 15	TAPE, ADHESIVE, AL BACKED	7	
4	1004544	PIN, GUIDE	6	
1	1004555	END PLATE, RIGHT	5	
1	1004558	END PLATE, LEFT	4	
1	1004556	NUT, SLEEVE	3	
1	1004557	SPRING, LEAF	2	
1	1004659	HOLDER, COMPONENT	1	
