-11	DRAWING	TITLE	FIND	STRIKE
2	1010385	DIODE	89	
1	1010372-11	DIODE	88	
3	1006777-6	CAPACITOR	87	
5	1008815-9	DIODE	86	
1	1010357-1	TRANSISTOR	85	
X	2010125	SCHEMATIC	REF	
1	208093-000	TERMINAL, THREADED	84	
16	1010397-1	TRANSISTOR	83	
22	1010367-000	CHOPPER	82	
1	1010282	TRANSFORMER	81	
1	1010310	TRANSFORMER	80	
3	1010710	TRANSFORMER	79	
1	1010466	TRANSFORMER	78	
11	1010323	TRANSFORMER	77	
8	1008842	TRANSFORMER	76	
3	1008832	TRANSFORMER	75	
1	1010259-000	DIODE	74	
6	1010372-12	DIODE	73	
5	1010837-001	DIODE	72	
2	1008777-31	CAPACITOR	71	
3	1010410-15	CAPACITOR	70	
1	1006755-10	CAPACITOR	69	
1	1006755-4	CAPACITOR	68	
3	1010410-18	CAPACITOR	67	
3	1010410-5	CAPACITOR	66	
1	1010393-037	CAPACITOR	65	
1	1010393-029	CAPACITOR	64	
1	1010359-17	CAPACITOR	63	
2	1010279-114	CAPACITOR	62	
3	1010279-100	CAPACITOR	61	
2	1010279-16	CAPACITOR	60	X
6	1010279-6	CAPACITOR	59	
6	1010279-4	CAPACITOR	58	
1	1010264-14	CAPACITOR	57	
2	1006755-182	CAPACITOR	56	
1	1006755-180	CAPACITOR	55	X
8	1006755-69	CAPACITOR	54	
14	1006755-34	CAPACITOR	53	
1	1006755-40	CAPACITOR	52	
6	1006755-31	CAPACITOR	51	
3	1010311-302	RESISTOR	50	
1	1010364	RESISTOR	49	
1	1010363-787	RESISTOR	48	
1	10106760-18	RESISTOR	47	
3	1010311-306	RESISTOR	46	
3	1010311-291	RESISTOR	45	
3	1010311-167	RESISTOR	44	
3	1010311-109	RESISTOR	43	
2	1010364-495	RESISTOR	42	
1	1010364-243	RESISTOR	41	
8	1010364-769	RESISTOR	40	
4	1010364-735	RESISTOR	39	
8	1010364-707	RESISTOR	38	
1	1010364-673	RESISTOR	37	
6	1010364-653	RESISTOR	36	
1	1010364-579	RESISTOR	35	
2	1010364-453	RESISTOR	34	
1	1010364-449	RESISTOR	33	
4	1010364-411	RESISTOR	32	
1	1010364-387	RESISTOR	31	
1	1010364-267	RESISTOR	30	
1	1010364-225	RESISTOR	29	
1	1010364-35	RESISTOR	28	
8	1006750-72	RESISTOR	27	
8	1006750-65	RESISTOR	26	
8	1006750-56	RESISTOR	25	
2	1006750-30	RESISTOR	24	X
14	1006750-36	RESISTOR	23	
1	1006750-14	RESISTOR	22	
12	1006750-1	RESISTOR	21	
13	1006750-25	RESISTOR	20	
1	1006750-20	RESISTOR	19	
1	1010311-186	RESISTOR	18	
AR	1006776-21	INSULATION SLEEVING	17	
AR	1006776-20	INSULATION SLEEVING	16	
AR	1006757-1	WIRE, ELECTRICAL	15	
AR	1010848-2	WIRE, ELECTRICAL	14	
1	1008540-10	GASKET, CONNECTOR, MINIATURE	13	
3	1008540-9	GASKET, CONNECTOR, MINIATURE	12	
2	1008540-8	GASKET, CONNECTOR, MINIATURE	11	
3	1008168-3	STUD, EXTENSION	10	
6	1015135-011	SPACER, NYLON	9	
6	1008161-1	SCREW, CAP, SLOTTED HEAD, SPECIAL	8	
53	1006782-16	CONTACT, WRAPOST, MALE MINIATURE	7	
53	1006775	INSULATOR, WRAPOST, MALE MINIATURE	6	
1	2008537	WIRING BOARD D	5	
1	2008536	WIRING BOARD C	4	
1	2008535	WIRING BOARD B	3	
1	2008534	WIRING BOARD A	2	
1	2008408	FRAME	1	
