-21	-11	FIND	0	TITLE	DRAWING
1		4		PIPA CALIBRATION ASSY	1007509-021
	1	3		PIPA CALIBRATION ASSY	1007509-011
		2	1	PIPA CALIBRATION ASSY	1007009
1	1	1	1	PIP PREALIGNED ASSY	1000013
					
				PROOFED	
