-11	DRAWING	TITLE	FIND	STRIKE
X	2010017	SCHEMATIC	REF	
AR	1010848-2	WIRE, ELECTRICAL	57	
2	1006750-41	RESISTOR	56	
1	MS20341-10B	NUT, HEX	55	
1	1010357-1	TRANSISTOR	54	
1	1010376-3	TRANSISTOR	53	
1	1010715-2	TRANSISTOR	52	
1	1010652-2	TRANSISTOR	51	
1	1010843-5	TRANSISTOR	50	
1	1010342	TRANSISTOR	49	
2	1010388-39	INDUCTOR	48	
2	1006755-57	CAPACITOR	47	
2	1006755-73	CAPACITOR	46	
1	1006777-15	CAPACITOR	45	
2	1010369-90	RESISTOR	44	
2	1006777-7	CAPACITOR	43	
2	1006777-24	CAPACITOR	42	
2	1010394	DIODE	41	
			40	
1	1010497	DIODE	39	
			38	
			37	
7	1010385	DIODE	36	
2	1006750-49	RESISTOR	35	
1	1006750-39	RESISTOR	34	
2	1006750-12	RESISTOR	33	
2	1006750-52	RESISTOR	32	
1	1006750-32	RESISTOR	31	
2	1006750-63	RESISTOR	30	
1	1006750-36	RESISTOR	29	
2	1006750-78	RESISTOR	28	
1	1006750-1	RESISTOR	27	
2	1006750-67	RESISTOR	26	
1	1006750-78	RESISTOR	25	X
2	1006750-80	RESISTOR	24	
2	1006750-60	RESISTOR	23	
1	1010373-12	RESISTOR, VARIABLE	22	
2	1010389-78	RESISTOR	21	
1	1010389-88	RESISTOR	20	
2	1010618-3	SCREW, BUTTON HD	19	
1	2008093	TERMINAL, THREADED	18	
1	1008540-8	GASKET	17	
1	1008540-12	GASKET	16	
			15	
AR	1006776-21	INSULATION, SLEEVING	14	
AR	1006776-20	INSULATION, SLEEVING	13	
AR	1006757-21	WIRE, ELEC, .032 DIA	12	
AR	1006338-000	SEALING COMP SILICONE RUBBER, WHT	11	
AR	1006757-1	WIRE, ELEC, .010 X .020	10	
2	1008024-1	WASHER, INSULATOR	9	
2	1008071-2	WASHER, FLAT	8	
1	2008020-1	INSULATOR, BUSHING	7	
3	1008025-1	INSULATOR, BUSHING	6	
20	1006775	INSULATOR, WRAPOST, MALE MINAT	5	
20	1006782-5	CONTACT, WRAPOST, MALE MINAT	4	
1	2008001	INSULATOR, BOTTOM	3	
1	2008000	INSULATOR, TOP	2	
1	2008018	HEATSINK	1	
				
X	X	PROOFED	REF	X
