-31	-21	-11	FIND	DRAWING	TITLE
4			18	2021283	DRIVE CYLINDER
4			17	2021282-001	SCREW, JACK
4	4		16	MS171433	PIN, SPRING
4	4		15	2004148-010	WASHER
	4		14	1004207	DRIVE CYLINDER
4	4		13	2010768	GASKET
4	4		12	2010767-001	WASHER, STEP
	4		11	2010782-001	SCREW, JACK
2	2		10	2010762	SHELL, ELECT. CONN.
1	1		9	2010756	BASE, ELECT. CONN.
		4	8	MS16633-4015	RING, RETAINING, EXTERNAL
		4	7	1004546-3	WASHER, FLAT
		4	6	1004546-1	WASHER, FLAT
		4	5	1004579-3	SCREW, JACK
6	6	6	4	1006783-18	SCREW, BUTTON HD
64	64	64	3	1010956-1	INSULATOR, BUSHING WRAPOST
		1	2	2010653	BASE, ELECT CONN (INSEP ASSY)
		2	1	2014750	SHELL, ELEC CONN (INSEP ASSY)
					
					PROOFED
