-11	DRAWING	TITLE	FIND	STRIKE
X	1006199	SCHEMATIC	REF	
				
				
				
6	1006782-1	CONTACT, WRAPOST, MALE MINAT	17	
6	1006775	INSULATOR, WRAPOST, MALE, MINAT	16	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	15	
AR	1005757-1	WIRE, ELECTRICAL, .010 X .020	14	
1	1003492	STRAND GATE MODULE SUB ASSY 6	13	
2	1004579-1	SCREW, JACKING	12	
2	1004546-1	WASHER, FLAT	11	
1	1004282	BLOCK SPACER	10	
2	1004546-3	WASHER, FLAT	9	
1	1004279	BLOCK SPACER	8	
1	1003182	STRAND GATE BLOCK SPACER SUB-ASSY	7	
1	1003475	STRAND GATE MODULE SUB ASSY 5	6	
1	1003172	STRAND GATE MODULE SUB ASSY 4	5	
1	1003486	STRAND GATE MODULE SUB ASSY 3	4	
1	1003491	STRAND GATE MODULE SUB ASSY 2	3	
1	1003490	STRAND GATE MODULE SUB ASSY 1	2	
1	1003175	HEADER HOUSING ASSY	1	
				
X	X	PROOFED	REF	X
