0	DRAWING	TITLE	FIND
X	1010019	SCHEMATIC	REF
			
1	1006750-32	RESISTOR	18
2	1006783-5	SCREW, BUTTON HD, HEX SKT	17
AR	1006776-20	INSULATION SLEEVING	16
AR	1006787-3	WIRE ELECTRICAL	15
1	MS20341-416B	NUT, PLAIN HEX	14
1	MS35650-104	NUT, PLAIN HEX	13
1	1008020-2	WASHER FLAT	12
1	-1	WASHER FLAT	11
4	1008024-3	WASHER FLAT INSULATOR	10
4	1008024-2	WASHER FLAT INSULATOR	9
1	1008021-2	BUSHING INSULATOR	8
1	-1	BUSHING INSULATOR	7
1	1008016	TERMINAL BOARD	6
1	1010273-1	TRANSISTOR (2N1724)	5
1	1010269-1	TRANSISTOR (2N2151)	4
1	1010325-265	RESISTOR	3
1	1006760-56	RESISTOR	2
1	1008017	BRACKET, MOUNTING	1
			
		PROOFED	
