-2	-1	DRAWING	TITLE	FIND
	AR	1006806-8	INSULATION TAPE, ELEC	3
AR	AR	1006806-5	INSULATION TAPE, ELEC	2
AR	AR	1006757-1	WIRE, ELEC .010 X .020	1
				
			PROOFED	
