FIND	-11	DRAWING	TITLE
5	AR	1008952	PRIMER
4	AR	1012543-003	ENAMEL
3	4	MS20426AD3-4	(1897063-104) RIVET, SOLID, 100 DEGREES CSK AL
2	2	MS21087-L3	(7875739-197) NUT, SELF LOCKING
1	1	2021387-001	BRACKET, ELECTRICAL CONDUCTOR
			
			PROOFED
