0	TITLE	DRAWING	FIND
AR	TAPE	MIL-I-15126	5
AR	WIRE (LEADS)	1006711-13	4
AR	IMPREGNANT	1010687-1	3
AR	WIRE	1006711-12	2
2	TRANSFORMER	1001630	1
			
	PROOFED		
