-11	DRAWING	TITLE	FIND	STRIKE
AR	1006826-12	INSULATION TAPE, ELECTRICAL	14	
X	1006118	SCHEMATIC	REF	
2	1004546-3	WASHER, FLAT	12	
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	11	
AR	1006879	SILICONE COMPOUND THERMOCONDUCTIVE	10	
6	1004117	PLUG, KEYING	9	X
2	1008145	PIN SPRING	8	X
2	1004546-1	WASHER, FLAT	7	
2	1004579-1	SCREW, JACKING	6	
2	1004207	DRIVE CYLINDER	5	X
4	1000093-2	SCREW, BUTTON HEAD	4	
1	1003108	COVER	3	
1	1003140	ERASABLE SENSE AMPL. MODULE SUBASSY	2	
1	1003148	HEADER HOUSING ASSY	1	
