-11	DRAWING	TITLE	FIND	STRIKE
X	1006097	SCHEMATIC	REF	
				
1	1004284	DECAL	49	
AR	1006806-9	INSULATION TAPE	48	
1	1004215-3	INSULATOR	47	
1	1006755-79	CAPACITOR	46	
2	1006755-133	CAPACITOR	45	
4	1004546-3	WASHER, FLAT	44	
4	MS16633-4015	RING, RETAINING, EXTERNAL “E”	43	
1	MS20364-428A	NUT, SELF LOCKING THIN	42	
AR	1006879	SILICONE COMPOUND, THERMOCONDUCTIVE	41	
AR	1006776-14	INSULATION SLEEVING	40	
2	1006710	SPLICE	39	X
AR	1006776-16	INSULATION SLEEVING	38	
AR	QQ-W-343, TYPE S #16	WIRE ELEC	37	
4	1006708	TERMINAL STUD	36	
AR	1006757-3	WIRE, ELEC, .025 DIA	35	X
AR	SEE NOTE 15	INSULATION SLEEVING	34	X
AR	1006776-21	INSULATION SLEEVING	33	
AR	1006757-18	WIRE, ELEC, .010 X .020	32	
1	1008024-3	WASHER, INSULATOR	31	
AR	SEE NOTE 14	WIRE ELEC	30	X
AR	1006776-20	INSULATION SLEEVING	29	
AR	1006757-21	WIRE, ELEC, .032 DIA	28	
2	MS35338-82	WASHER, LOCK	27	
2	MS20341-416B	NUT, PLAIN HEX, ELEC	26	
3	1008071-5	WASHER	25	
1	1008024-4	WASHER, INSULATOR	24	
1	1008021-2	BUSHING, INSULATOR	23	
4	MS39088-100	PIN, SPRING	22	X
4	1004207	CYLINDER, DRIVE	21	X
4	1004546-1	WASHER, FLAT	20	
4	1004579-1	SCREW, JACKING	19	
AR	1006776-22	INSULATION SLEEVING	18	
AR	1006757-13	WIRE, ELEC, .020 DIA	17	
1	1008025-2	BUSHING, INSULATOR	16	X
1	1006827	TRANSISTOR	15	
1	1003089-2	TRANSISTOR, POTTED	14	
1	1006800	INDUCTOR	13	
1	1006798	INDUCTOR	12	
2	1006791	DIODE	11	
5	1006755-134	CAPACITOR	10	
1	1006715-2	RESISTOR	9	
2	1006750-56	RESISTOR	8	
1	1006788-6	RESISTOR	7	
1	1010389-51	RESISTOR	6	
1	1010389-43	RESISTOR	5	
1	1006750-12	RESISTOR	4	
1	1004215-1	INSULATOR	3	
1	1004215-2	INSULATOR	2	
1	1003124	HEADER HOUSING ASSY	1	
				
X	X	(PROOFED)	REF	X
