0	TITLE	DRAWING	FIND
AR	WIRE (LEADS)	1006711-13 AWG 30	4
AR	IMPREGNANT	1010687-1	3
AR	TAPE	MIL-I-15126	2
2	CORE & COIL ASSY	1001529	1
			
	PROOFED		
