-21	-11	DRAWING	TITLE	FIND
X		2005935	SCHEMATIC	REF
	X	2005012	SCHEMATIC	REF
				
				
				
16		2004183-002	DIODE, MATCHED PAIR	6
AR	AR	1006757-8	WIRE, ELECTRICAL	5
AR	AR	1006757-12	WIRE, ELECTRICAL	4
32	32	1006757-32	RESISTOR	3
	16	2004103-002	DIODE, MATCHED PAIR	2
1	1	2004073	BLOCK, RESISTOR, DIODE	1
