FIND	0	DRAWING	TITLE	NOTE
1	75.0 FEET 7.3 INCHES	1010848-2	WIRE	
2	8.0 FEET 3.1 INCHES	1010847-4	WIRE	
3	AR	1012507-002	TAPE, LACING	
4	22	1010738-6	CONTACT, CRIMP TYPE SOCKET	
5	AR	QQ-S-571 SN60	SOLDER (ES-2175 ALLOY 1)	
6	AR	QQ-S-571 TYPE AR	FLUX (ES-2175 TYPE 1 OR 2)	OR MIL-F-14256 (ES-2798)
7	2.0 FEET	1010847-2	WIRE	
				
			PROOFED	
