FIND	0	DRAWING	TITLE
55	1	2012515	HOUSING & LENS, ASSY OF (HORIZON SENSING)
54	4	1011625-30	SCREW, CAP, HEX SOC. HD, SELF LOCKING
53			
52			
51	1	2012509	HEAD ELECTRONICS, HARNESS ASSY OF
50	12	NAS1189CO2P4L	SCREW, 100 DEGREE FLAT HD, SELF LOCKING
49	9	NAS1352CO2LL6	SCREW, CAP, HEX SOC. HD, SELF LOCKING
48	6	1011625-11	SCREW, CAP, HEX SOC. HD, SELF LOCKING
47	3	NAS1352CO3LL4	SCREW, CAP, HEX SOC. HD, SELF LOCKING
46			
45	1	1011625-24	SCREW, CAP, HEX SOC. HD, SELF LOCKING
44	3	NAS1352CO4LL4	SCREW, CAP, HEX SOC. HD, SELF LOCKING
43	4	1011625-28	SCREW, CAP, HEX SOC. HD, SELF LOCKING
42			
41	6	NAS1352CO4LL10	SCREW, CAP, HEX SOC. HD, SELF LOCKING
40			
39			
38			
37	9	1010608-2	WASHER, SPRING, CURVED
36	3	1011918-1	WASHER, CABLE CLAMP
35	3	1000220-4	CLAMP, CABLE
34	4	1011625-34	SCREW, CAP, HEX SOC HD, SELF LOCKING
33			
32			
31			
30			
29	1	2012461	SPACER
28	1	2012462	SPACER
27	1	2012466	SPACER, VARIABLE
26	1	2012464	APERTURE, STAR TRACKER
25	1	2012467	SPACER
24	1	2012393	HOUSING & FILTER, ASSY OF
23	1	2012480	HOUSING & LENS ASSY (STAR TRACKER)
22	1	2012368	MIRROR, STAR TRACKER
21	1	2012369	MIRROR, STAR TRACKER
20	1	2012451	MIRROR, HORIZON SENSOR
19	9	2012465	BUSHING, MIRROR
18			
17	6	2011213	WASHER, WAVE
16	6	2011214	BUSHING, MIRROR
15	1	2011260	MIRROR, SEXTANT HEAD
14	1	2011598	RETAINER, BEAM SPLITTER
13	1	2011634	SPRING, BEAM SPLITTER
12	8	NAS1352CO4LL6	SCREW, CAP, HEX SOC HD, SELF LOCKING
11	AR	2011635	SPACER, BEAM SPLITTER
10	1	2012222	BEAM SPLITTER
9	1	2012482	SPACER
8	1	2011671	RETAINER, DRIVE BEARING
7	1	2011266	RETAINER, BEARING
6	1	2012366	MIRROR, SEXTANT HEAD
5	1	2011233	GEAR, SPUR (128T-96P)
4	1	2011940	SPRING & COLLET, ASSY OF
3	1	2011712	INDEXING MIRROR & MOUNT ASSEMBLY
2	1	2011706	TRUNNION DRIVE GEARBOX ASSEMBLY
1	1	2011254	HOUSING, SXT HEAD, ASSY OF (MACHINING)
			
			PROOFED
