-11	DRAWING	TITLE	FIND	STRIKE
X	2010008	SCHEMATIC	REF	
				
				
				
AR	1010848-2	WIRE, ELECTRICAL	45	
2	1008071-6	WASHER, FLAT	44	
1	1010324	TRANSFORMER	43	
1	1010886	TRANSFORMER	42	
1	1010431-000	TRANSISTOR	41	
1	1008922-2	TRANSISTOR	40	
1	1008813-3	TRANSISTOR	39	
1	1010372-15	DIODE	38	
1	1010829-2	DIODE	37	
1	1010264-13	CAPACITOR	36	
2	1010264-37	CAPACITOR	35	
1	1010364-309	RESISTOR	34	
1	1006750-56	RESISTOR	33	
2	1006750-25	RESISTOR	32	
2	1006750-12	RESISTOR	31	
1	SEE NOTE 26	RESISTOR	30	
1	SEE NOTE 26	RESISTOR	29	
4	1006750-1	RESISTOR	28	
2	1010364-327	RESISTOR	27	
1	1006750-36	RESISTOR	26	
1	1006750-57	RESISTOR	25	
1	1010364-573	RESISTOR	24	
1	SEE NOTE 26	RESISTOR	23	
AR	1006757-1	WIRE, ELECTRICAL .010 X .020	22	
AR	1006757-21	WIRE, ELECTRICAL .032 DIA	21	
			20	
2	1008025-2	INSULATOR, BUSHING	19	
AR	1006776-21	INSULATION SLEEVING ELECTRICAL	18	
AR	MIL-I-15126 TYPE MFT 2.5 1/2 IN. WIDE	INSULATION TAPE	17	
AR	1006776-20	INSULATION SLEEVING ELECTRICAL	16	
			15	
1	2008093-000	TERMINAL, THREADED	14	
2	1010618-13	SCREW	13	
2	1008024-4	WASHER, INSULATOR	12	
2	1008024-3	WASHER, INSULATOR	11	
2	1008071-5	WASHER, FLAT	10	
2	MS20341-416B	NUT, HEX	9	
2	1008021-2	BUSHING, INSULATOR	8	
1	1008540-8	GASKET, CONNECTOR MINIATURE	7	
1	1008540-6	GASKET, CONNECTOR MINIATURE	6	
14	1006782-5	CONTACT, WRAPOST - MALE MINAT	5	
14	1006775	INSULATOR, WRAPOST - MALE MINAT	4	
1	2008142	INSULATOR, TOP	3	
1	2008143	INSULATOR, BOTTOM	2	
1	2008144	HEATSINK	1	
				
X	X	PROOFED	REF	X
