FIND	-11	DRAWING	TITLE
4	AR	1012049	LUBRICANT DRY FILM (EXTREME ENVIRONMENT)
3	2	2011571	SCREW, SHOULDER
2	1	2011568	INSERT, BALL MOUNT, PLANE
1	1	2011567	INSERT, BALL MOUNT, PLANE BASE
			
			PROOFED
