FIND	-11	DRAWING	TITLE
7	1	2011694	RETAINER, RING, LOCKING
6	1	2011783	LENS, ASSY OF
5	1	2011642	SPACER, LENS
4	1	2011860	LENS, POSITIVE
3	1	2011641	SPACER, LENS
2	1	2011782	LENS, ASSY OF
1	1	2011876	HOUSING, SEXTANT EYEPIECE
			
			PROOFED
