-11	DRAWING	TITLE	FIND	STRIKE
X	2010020	SCHEMATIC	REF	
AR	1010848-2	WIRE, ELECTRICAL, NICKEL	32	
AR	1006757-21	WIRE, ELECTRICAL, .032 DIA	31	
1	1010353-7	RELAY	30	
9	1006762-2	TRANSFORMER	29	
1	1010289-50	CAPACITOR	28	
7	1006755-49	CAPACITOR	27	
8	1010385	DIODE	26	
6	1010398-3	TRANSISTOR	25	
1	1010357-1	TRANSISTOR	24	
1	1010377-229	RESISTOR	23	
1	1010262-12	RELAY	22	
1	1010262-10	RELAY	21	
1	1010923-37	RELAY	20	
1	1010923-40	RELAY	19	
7	1006750-73	RELAY	18	
7	1006750-27	RELAY	17	
1	2008093	TERMINAL, THREADED	16	
3	1008540-12	GASKET	15	
1	1008540-11	GASKET	14	
			13	
AR	1006776-21	INSULATION, SLEEVING	12	
AR	1006776-20	INSULATION, SLEEVING	11	
			10	
AR	1006757-1	WIRE, ELECTRICAL, .010 X .020	9	
AR	MIL-I-15126 TYPE MFT 2.5 1/2 IN. WIDE	INSUL TAPE	8	
6	1008025-2	INSULATOR, BUSHING	7	
1	1008025-1	INSULATOR, BUSHING	6	
47	1006775	INSULATOR, WRAPOST, MALE, MINAT	5	
47	1006782-5	CONTACT, WRAPOST, MALE, MINAT	4	
1	2008108	INSULATOR, BOTTOM	3	
1	2008107	INSULATOR, TOP	2	
1	2008109	HEATSINK	1	
				
X	X	PROOFED	REF	X
