0	TITLE	DRAWING	FIND	NOTE
AR	WIRE, ELECTRICAL E-30, 19 STRAND, YELLO	MIL-W-16878	12	
AR	WIRE, ELECTRICAL, NO.26	QQ-W-343 TYPE S, S CTD	11	
AR	WIRE, ELECTRICAL, E30, 19 STRAND, BLUE	MIL-W-16878	10	
AR	WIRE, ELECTRICAL, E32, 7 STRAND, PINK HIGH RESISTANCE	TBD	9	The original drawing does not list a part number.
AR	WIRE, ELECTRICAL, E30, 19 STRAND, RED	MIL-W-16878	8	
AR	SOLDER	QQ-S-571 SN10 WARP2	7	
8	TERMINAL, INSULATED	1000100-3	6	
AR	INSULATING COMPOUND	1000144	5	
AR	INSULATION, SLEEVING, ELECTRICAL	1006776-18	4	
2	HEATER ASSEMBLY	SEE NOTE 11 IN DRAWING	3	
1	SENSOR ASSEMBLY	SEE NOTE 11 IN DRAWING	2	
1	MOUNT, TAPERED, 25 IRIG, MOD 1	1000039	1	
				
	PROOFED			
