FIND	-11	DRAWING	TITLE	STRIKE
6	AR	1011541	ADHESIVE, EPOXY	
5	3	NAS1189C04P4L	SCREW, SELF-LOCKING 100 DEGREE FLAT HEAD	
4	1	2012137	COUNTER WEIGHT	
3	3	NAS1190C04P4L	SCREW, SELF-LKG PAN HEAD FULL THD 250 DEGREES F	
2	1	2012508	BAFFLE, DOVE PRISM, SCT	
1	1	2012545	COVER, TELESCOPE HEAD	
				
REF	X	X	PROOFED	X
