FIND	0	DRAWING	TITLE
8	1	NAS1352CO4LL6	SCREW, CAP, HEX SOC HD, SELF LOCKING
7	3	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
6	2	1011610	BEARING, BALL, ANNULAR
5	1	1011768-10	PACKING, PREFORMED
4	1	6011023	PINION, GEAR BEVEL SHAFT (35T-64P)
3	1	6011093	RETAINER, BEARING AND PACKING
2	1	6011066	KNOB, PRISM POSITIONING
1	1	6011823	HOUSING & SPRING POSITIONING MECHANISM, ASSY OF
			
			PROOFED
