-31	-21	-11	DRAWING	TITLE	FIND
17	17	17	1008169-1	WASHER, FLAT	16
17	17	17	1008167-1	SCREW, SOCKET HD	15
1	1	1	1004628	PLATE, IDENTIFICATION	14
1	1		1007671	CONNECTOR, PLUG, ELEC JUMBER	13
1	1		1007665-011	CDU RESOLVER ASSEMBLY	12
		1	1007660-011	CDU RESOLVER ASSEMBLY	11
1	1	1	1007662-011	IGIG & PIPA ASSEMBLY	10
1	1	1	1007664-011	GIMBAL RESOLVER ASSEMBLY	9
1	1	1	1007663-011	SCALER ASSEMBLY	8
1			1007668-011	OPTICS ASSEMBLY	7
	1		1007667-011	OPTICS ASSEMBLY	6
		1	1007661-011	PIPA ASSEMBLY	5
1	1	1	1007666-011	TORQUE MOTOR ASSEMBLY	4
1			1007670-031	FRAME ASSEMBLY	3
	1		1007670-021	FRAME ASSEMBLY	2
		1	1007670-011	FRAME ASSEMBLY	1
					
				PROOFED	
