-11	0	FIND	DRAWING	TITLE
1	0	35	2011934-011	SCT SHAFT DRIVE HARNESS, ASSY OF
4	4	34	1011625-11	SCREW, CAP, SOC HD
3	3	33	1011625-18	SCREW, CAP, SOC HD
3	3	32	1011625-16	SCREW, CAP, SOC HD
AR	AR	31	2011804	WASHER, FLAT
1	1	30	NAS135C06-6	SCREW, CAP, SOC HD
1	1	29	2012580-2	SPRING, ANTI-BACKLASH
1	1	28	2012579	SPUR GEAR 144T/120P
1	1	27	1011918-3	WASHER, CABLE CLAMP
3	3	26	2011868-1	CLAMP, RIM CLENCHING
1	1	25	1000220-4	CLAMP, CABLE
2	2	24	NAS1189C04P4L	SCREW, 100 DEGREE FLAT HD
2	2	23	2011332	POST, SPACER
1	1	22	2011357	GEAR, BEVEL (31T/48P)
4	4	21	NAS1352C02LL6	SCREW CAP, SOCKET HD
1	1	20	2011355-4	CLAMP, COLLAR
1	1	19	2011356	GEAR, BEVEL (30T/48P)
3	3	18	2011868-2	CLAMP, RIM CLENCHING
1	1	17	2011274	BRACKET, COUNTER
1	1	16	1012512	COUNTER, ANGLE
1	1	15	1352C02LL4	SCREW CAP, SOCKET HD
2	2	14	2011355-2	CLAMP, COLLAR
1	1	13	2012578	GEAR SPUR 1445/120P
3	3	12	NAS1352C03LL4	SCREW CAP, SOCKET HD
3	3	11	2011868-3	CLAMP, RIM CLENCHING
0	1	10	2011934-000	SCT SHAFT DRIVE HARNESS, ASSY OF
1	1	9	2011278	GEARSHAFT 36T/120P-124T/96P-45T/48P
1	1	8	2011279	GEARSHAFT 18T/96P-99T/96P
1	1	7	2011280	GEARSHAFT 22T/96P-96T/96P
1	1	6	2011358	GEARSHAFT 104T/120P/32T/96P
6	6	5	1011608-3	BEARING, BALL, ANNULAR (FLANGED PHENOLIC RETAINER)
1	1	4	1011608-1	BEARING, BALL, ANNULAR (FLANGED PHENOLIC RETAINER)
1	1	3	1011608-4	BEARING, BALL, ANNULAR (FLANGED PHENOLIC RETAINER)
1	1	2	2011333	PLATE, BEARING ASSEMBLY OF
1	1	1	2011329	HOUSING, GEAR SCT SHAFT DRIVE
				
				PROOFED
