0	TITLE	DRAWING	FIND
AR	POLYESTER	MIL-I-631 TYPE G	5
AR	IMPREGNANT	1010687-1	4
AR	WIRE (LEADS)	1006711-13	3
AR	WIRE	-22	2
2	CORE	1010688-2	1
			
	PROOFED		
