-1	0	DRAWING	TITLE	FIND
AR	AR	1008930	GREASE, MOLYBDENUM DISULFIDE	8
16	16	1010861-6	NUT, PLAIN CLINCH	7
4	4	MS16555-625	PIN, STRAIGHT, HEADLESS	6
40	40	MS21209-CO615	INSERT, SCREW THREAD	5
16	16	1001489-18	SCREW, HEX, SOC HD	4
2	2	1000088-2	PIN, LOCATING, STRAIGHT, HEADLESS	3
1	1	2018735	HEMISPHERE ASSY, FXD MID GMBL	2
1	1	2018757	HEMISPHERE ASSY, MOVABLE MID GMBL	1
				
			PROOFED	
