FIND	0	DRAWING	TITLE	STRIKE
REF	X	1010045	SCHEMATIC, ELECTRICAL	
				
41	AR	1006757-8	WIRE, ELECTRICAL .020 DIA	
40	AR	-1	WIRE, ELECTRICAL .010 X .020	
39	AR	-9	WIRE, ELECTRICAL .032 DIA	
38	AR	1006776-22	INSULATION, SLEEVING, ELECTRICAL	
37	AR	-21	INSULATION, SLEEVING, ELECTRICAL	
36	AR	-20	INSULATION, SLEEVING, ELECTRICAL	
35	AR	MIL-I-15126 TYPE MFT, 1/2 WIDE	INSULATION TAPE, ELECTRICAL	
34	1	1010273-2	TRANSISTOR (MATCHED PAIR)	
33	1	1010324	TRANSFORMER	
32	1	1010307	TRANSFORMER	
31	1	1010431	TRANSISTOR	
30	1	1008813-3	TRANSISTOR (MATCHED PAIR)	
29	1	1010829-2	SEMICONDUCTOR DEVICE, DIODE	
28	1	1010372-15	SEMICONDUCTOR DEVICE, DIODE	
27	2	1010264-9	CAPACITOR, FIXED	
26	2	-37	CAPACITOR, FIXED	
25	1	1006750-57	RESISTOR, FIXED	
24	1	-73	RESISTOR, FIXED	
23	2	-25	RESISTOR, FIXED	
22	2	-12	RESISTOR, FIXED	
21	2	-1	RESISTOR, FIXED	
20	2	1010369-1	RESISTOR, FIXED	
19	1	1010364 SEE DRAWING NOTE 9	RESISTOR, FIXED	
18	1	1010364-573	RESISTOR, FIXED	
17	2	-327	RESISTOR, FIXED	
16	1	-309	RESISTOR, FIXED	
15	1	-273	RESISTOR, FIXED	
14	2	1008025-2	INSULATOR, BUSHING	
13	2	1000093-13	SCREW	
12	2	1008024-4	WASHER, INSULATOR	
11	2	-3	WASHER, INSULATOR	
10	2	1008021-2	BUSHING, INSULATOR	
9	2	1008071-5	WASHER, FLAT	
8	2	MS20341-416B	NUT	
7	8	1006775	INSULATOR	
6	8	1006782-5	CONTACT, WRAPOST – MALE	
5				
4	1	1015712	INSULATOR	X
3	1	1015711	INSULATOR	X
2				
1	1	1015709	HEATSINK	
				
			PROOFED	
