FIND	0	DRAWING	TITLE
16	AR	1010490-112	INSULATION SLEEVING ELECT. HEATSHRINKABLE
15	AR	1011753	TAPE, LACING & TYING
14	26	MS17804-16-20	CONTACT, SOCKET
13	2	MS25036-48	LUG, TERMINAL
12	1	1011482	SOCKET, LAMP, MODIFIED
11	9"	1002105 22 AWG TYPE I WHITE	WIRE, IRRADIATED, POLY INSULATED
10	125'	1002105 24 AWG TYPE I WHITE	WIRE, IRRADIATED, POLY INSULATED
9	AR	1010490-060	INSULATION SLEEVING ELECT. HEATSHRINKABLE
8	11 5/8"	1006776-10	INSULATION, SLEEVING
7	6'	1015864-816	INSULATION, SLEEVING
6	52	1010738-1	CONTACTS, ELECTRICAL
5	1	1011368	SWITCH, TOGGLE
4	1	1010347-1	CONN, PLUG, ELECTRICAL
3	1	1011501	CONN, ELECTRICAL
2	1	1011411	CONN, ELECTRICAL
1	1	1000119	CONN, ELECTRICAL, RECP
			
			PROOFED
