-21	-11	FIND	DRAWING	TITLE	STRIKE
X	X	REF	1009529	SCHEMATIC DIAGRAM, ELECTRICAL	
					
AR		48	SEE DRAWING NOTE 24	MOISTUREPROOFING	
AR	AR	47	1010848-2	WIRE, ELECTRICAL – NICKEL	
1	1	46	1010829-3	DIODE	
1	1	45	SEE DRAWING NOTE 19	RESISTOR	
1	1	44	1008540-7	GASKET, CONNECTOR – MINIATURE	
1	1	43	1008540-4	GASKET, CONNECTOR – MINIATURE	
2	2	42	1006750-17	RESISTOR, FIXED	
2	2	41	1000093-14	SCREW	
1	1	40	1010264-21	CAPACITOR, FIXED	
AR	AR	39	SEE DRAWING NOTE 22	INSULATION, TAPE, ELECT	
AR	AR	38	1006776-20	INSULATION, SLEEVING, ELECT	
AR	AR	37	1006776-21	INSULATION, SLEEVING, ELECT	
	AR	36	1006776-22	INSULATION, SLEEVING, ELECT	X
AR	AR	35	1006757-9	WIRE, ELEC	
	AR	34	1006757-8	WIRE, ELEC	X
AR	AR	33	1006757-1	WIRE, ELEC	
1	1	32	1010337	TRANSFORMER	
1	1	31	1010324	TRANSFORMER	
1	1	30	1010269-2	TRANSISTOR	
1	1	29	1008813-3	TRANSISTOR	
1	1	28	1010431	TRANSISTOR	
1	1	27	1010278-80	RESISTOR	
1	1	26	1010278-8	RESISTOR	
1	1	25	1006750-73	RESISTOR	
1	1	24	1006750-49	RESISTOR	
2	2	23	1006750-12	RESISTOR	
2	2	22	1006750-26	RESISTOR	
2	2	21	1006750-1	RESISTOR	
2	2	20	1010364-385	RESISTOR	
1	1	19	1010364-335	RESISTOR	
1	1	18	1010364-381	RESISTOR	
1	1	17	1010364-251	RESISTOR	
1	1	16	SEE DRAWING NOTE 16	RESISTOR	
	1	15	1010265-3	SEMICONDUCTOR DEVICE, DIODE	X
1	1	14	1010372-16	SEMICONDUCTOR DEVICE, DIODE	
2	2	13	1010264-29	CAPACITOR, FIXED	
2	2	12	1010410-9	CAPACITOR, FIXED	
2	2	11	1008025-2	INSULATOR, BUSHING	
2	2	10	1008021-1	BUSHING, INSULATOR	
2	2	9	1008071-4	WASHER, FLAT	
2	2	8	1008024-2	WASHER, INSULATOR	
2	2	7	1008024-1	WASHER, INSULATOR	
2	2	6	MS20341-10B	NUT	
10	10	5	1006775	INSULATOR	
10	10	4	1006782-5	CONTACT, WRAPOST – MALE	
1	1	3	1008302	INSULATOR	
1	1	2	1008301	INSULATOR	
1	1	1	1008300	HEATSINK	
					
				PROOFED	
