FIND	-11	DRAWING	TITLE
11	AR	1011777	INDIUM FOIL
10	1	2011792	HOUSING & LENS, ASSY OF
9	1	1011768-30	PACKING, PREFORMED
8	4	NAS1352C04LL4	SCREW, CAP, SOC HD, SELF-LOCKING
7	1	2011674	PLATE, PECHAN PRISM
6	4	NAS1352C06LL6	SCREW, CAP, SOC HD, SELF-LOCKING
5	2	2011675	BRACKET, PECHAN PRISM RETAINER
4	1	2011170	PRISM, TELESCOPE BODY
3	AR	2011837-1 THRU -2	SPRING, PRISM SPACER
2	1	2011169	PRISM, TELESCOPE BODY
1	1	2011653	TUBE, TELESCOPE, INNER
			
			PROOFED
