-021	-011	-000	FIND	DRAWING	TITLE
AR			11	1012051	GREASE, SILICONE
3			10	6011444	SPACER
1	1		9	6011808-011	MIRROR HOUSING & PIN, ASSY OF
3	3	3	8	NAS1352CO4LL12	SCREW, CAP, SOC HD (SELF-LOCKING)
3	3	3	7	6011033	BUSHING, MIRROR
	3	3	6	2011213	WASHER, WAVE
1	1	1	5	6011030	RING, LOCKING
1	1	1	4	1011768-35	PACKING, PREFORMED (“O” RING)
1	1	1	3	6011413	WINDOW, GLASS (TELESCOPE)
1	1	1	2	6011029	MIRROR
		1	1	6011808	MIRROR HOUSING & PIN, ASSY OF
					
					PROOFED
