FIND	-11	DRAWING	TITLE
7	4	2012383	SCREW, MINIATURE
6	4	2012384	BUSHING
5	2	MS15795-802	WASHER FLAT
4	2	NAS1352C02-4	SCREW, CAP, SOCKET HEAD
3	1	2012382	GEAR SPUR, MOVABLE
2	4	2012385	SPRING, HELICAL COMPRESSION
1	1	2012386	GEAR AND PIN, ASSY OF
			
			PROOFED
