FIND	0	DRAWING	TITLE
1	46.7"	1010639-2	WIRE
2	1	MS25036-44	TERMINAL, LUG
3	8	1010738-6	CONTACT, ELEC. SOCKET
4	AR	MIL-W-16878 1B-24-19STND WHITE	WIRE
			
			PROOFED
