0	DRAWING	TITLE	FIND
X	1010115	SCHEMATIC	REF
			
1	1010311-80	RESISTOR	51
AR	1006757-1	WIRE ELECTRICAL	50
AR	1006776-22	INSULATION SLEEVING	49
AR	-21	INSULATION SLEEVING	48
AR	1006757-8	WIRE ELECTRICAL	47
2	1010618-4	SCREW	46
8	1008161-3	SCREW	45
4	1015135-019	SPACER	44
1	1010779-12	CONNECTOR RECEPTACLE	43
3	1010315-1	TRANSFORMER	42
3	1010324	TRANSFORMER	41
4	1010712	TRANSFORMER	40
6	1010367	CHOPPER	39
1	1010376-3	TRANSISTOR	38
7	1010397-1	TRANSISTOR	37
1	1010372-4	DIODE	36
1	1010409 SEE DRAWING NOTE 16	CAPACITOR	35
1	1010409 SEE DRAWING NOTE 16	CAPACITOR	34
1	1010409 SEE DRAWING NOTE 16	CAPACITOR	33
1	1010409-25	CAPACITOR	32
1	1010279-114	CAPACITOR	31
1	-236	CAPACITOR	30
3	-5	CAPACITOR	29
3	-7	CAPACITOR	28
3	1006755-69	CAPACITOR	27
6	-34	CAPACITOR	26
3	-31	CAPACITOR	25
3	1010409-12	CAPACITOR	24
1	1010311 SEE DRAWING NOTE 15	RESISTOR	23
1	1010311 SEE DRAWING NOTE 15	RESISTOR	22
1	1010311 SEE DRAWING NOTE 15	RESISTOR	21
1	1010364-693	RESISTOR	20
2	1006750-73	RESISTOR	19
1	1010311-203	RESISTOR	18
1	1006750-43	RESISTOR	17
1	-54	RESISTOR	16
1	-20	RESISTOR	15
3	1010364-769	RESISTOR	14
6	1006750-36	RESISTOR	13
6	1006750-25	RESISTOR	12
2	-80	RESISTOR	11
3	-56	RESISTOR	10
3	1010364-707	RESISTOR	9
5	1010311-126	RESISTOR	8
3	1006750-65	RESISTOR	7
3	1006750-68	RESISTOR	6
3	1010311-291	RESISTOR	5
6	1010311-315	RESISTOR	4
1	1008228	WIRING BOARD, BOTTOM	3
1	1008226	WIRING BOARD, TOP	2
1	1008234	FRAME	1
			
		PROOFED	
