-11	DRAWING	TITLE	FIND	STRIKE
X	1006183	INTERCONNECTION DIAGRAM	REF	
AR	MIL-T-713 TYPE P 2	LACING WAXED	11	
2.0	1010685-13	WIRE,ELEC, AWG 26 BLACK	10	
6.5	1010685-12	WIRE,ELEC, AWG 26 BLUE	9	
23.0	1010685-10	WIRE,ELEC, AWG 26 RED	8	
52.0	1010685-11	WIRE,ELEC, AWG 26 WHITE	7	
2.8	1010685-8	WIRE,ELEC, AWG 26 2 COND SHLD	6	
6.5	1010685-9	WIRE,ELEC, AWG 26 3 COND SHLD	5	
			4	
732	1010738-1	CONTACT, ELEC, PLUG	3	
2	1010641-144	CONNECTOR, PLUG	2	
1	1010641-244	CONNECTOR, PLUG	1	
				
X	X	PROOFED	REF	X
