-011	-000	FIND	DRAWING	TITLE
36"		8	1010789-002	WIRE, ELECT
36"		7	-001	WIRE, ELECT
AR	AR	6	1010490-052	INSULATION-SLEEVING, ELECT. HEAT SHRINK
AR	AR	5	1006776-25	INSULATION, SLEEVING, ELECT.
	14"	4	1010789-002	WIRE, ELECT
	14"	3	-001	WIRE, ELECT
10	10	2	MS24367-715	LAMP, INCANDESCENT
1	1	1	6011813	PLATE & STUDS, ASSY OF
				
				PROOFED
