0	DRAWING	TITLE	FIND
X	2010037	SCHEMATIC	REF
			
1	SEE DRAWING NOTE 12	RESISTOR	15
1	2007052	CONTACT, ELECTRICAL PIN	14
1	2007048	CONTACT, ELECTRICAL PIN	13
2	2007041-1	CONTACT, ELECTRICAL PIN	12
1	1012149	TRANSFORMER	11
2	1010398-1	TRANSISTOR	10
1	1012141	CAPACITOR	9
AR	1006776-21	INSULATION SLEEVING	8
1	2007040	SHIELD INSULATED (PHOTOMETER)	7
1	2007037	PWR SUP SUB-ASSY (PHOTOMETER-TRACKER)	6
1	2007035	PWR SUPPLY SUB-ASSY (PHOTOMETER)	5
1	1010618-1	SCREW, BUTTON HD	4
1	2007039	CONTACT, ELECTRICAL PIN	3
AR	1006757-1	WIRE, ELECTRICAL .010 X .020	2
1	2008207	WIRING BOARD	1
			
		PROOFED	
