-11	DRAWING	TITLE	FIND	STRIKE
X	2005951	INTERCONNECTING DIAGRAM	REF	
				
1	1000159-10	PACKING, PREFORMED “O” RING	23	
1	1010635-004	WASHER, LOCK	22	
2	MS51959-13	SCREW, FLAT HD, CROSS RECESSED	21	
1	2004927	COMB, WIRE	20	
1	1004546-6	WASHER, FLAT	19	
AR	1012507-003	TAPE, LACING	18	X
1	NAS1598D08N	WASHER, SEALING	17	
1	MS35216-39	SCREW, PAN HD, CROSS RECESSED	16	
AR	1010807-22	WIRE, INSULATED	15	
AR	1006732-1	WIRE, INSULATED	14	
1	2004931	RETAINER, VALVE CAP	13	
1	2003980-011	WIRING HARNESS, BRANCHED	12	
2	MS16633-4015	RING, RETAINING	11	
2	1004546-3	WASHER, FLAT	10	
2	1004546-1	WASHER, FLAT	9	
2	1004579-2	SCREW, JACKING	8	
4	MS51959-28	SCREW, FLAT HD, CROSS RECESSED	7	
1	2004903	VALVE, PNEUMATIC TANK	6	
1	1000159-14	PACKING, PREFORMED “O” RING	5	
1	MS15795-314	WASHER, FLAT	4	
1	MS20364D624A	NUT, HEX	3	
1	2003916-011	CONNECTOR PLATE ASSY	2	
1	2003967-011	IDM WIREWRAP PLATE ASSY	1	
				
X	X	PROOFED	REF	X
