-11	DRAWING	TITLE	FIND	STRIKE
X	2005006	SCHEMATIC	REF	
1	2004083	COVER	13	
2	1000093-2	SCREW, BUTTON HD	12	X
AR	1006776-20	INSULATION SLEEVING ELECTRICAL	11	
1	2004039	TERMINAL, THREADED	10	
2	1004546-1	WASHER, FLAT	9	
2	MS16633-4015	RING RETAINING EXTERNAL “E”	8	
2	1004546-3	WASHER FLAT	7	
2	1004579-1	SCREW JACKING	6	
AR	1006776-21	INSULATION SLEEVING	5	
AR	1006757-8	WIRE, ELECTRICAL	4	
AR	1006806-5	7.25 LG DOUBLE SIDED TAPE	3	X
1	2003012-011	DIODE BLOCK ASSY ERASABLE MEMORY	2	
1	2003009-011	CORE STACK ASSY ERASABLE MEMORY	1	
