-61	-51	-41	-31	-21	-11	TITLE	DRAWING	FIND
1	1					STABLE MEMBER ASSEMBLY	1000005-041	7
		1				STABLE MEMBER ASSEMBLY	1000005-031	6
	1	1		1	1	INTERGIMBAL SUB-ASSY 1X	1001510-1	5
			1	1		STABLE MEMBER ASSEMBLY	1000005-021	4
1	1	1	1	1	1	INTERGIMBAL SUB-ASSEMBLY 16X	1000207	3
1			1		1	INTERGIMBAL SUB-ASSEMBLY 1X	1001510-2	2
					1	STABLE MEMBER ASSEMBLY	1000005-011	1
								
						PROOFED		
