-051	-041	-031	-021	-011	FIND	DRAWING	TITLE
1					42	1021377-021	CROWN HALF & PLUG ASSY (TELESCOPE)
1					41	1021378-031	CROWN HALF & PLUG ASSY (SEXTANT)
	1				40	2021265-002	SPACER, PLATE (TELESCOPE)
	2				39	-001	SPACER, PLATE (TELESCOPE)
	1				38	2021266-002	SPACER, PLATE (SEXTANT)
	2				37	-001	SPACER, PLATE (SEXTANT)
	4				36	1008488-001	SCREW, SLOTTED, SPECIAL SEXTANT COVER
	1				35	1008487-005	SCREW, CAP, SLOTTED HEAD
	4				34	-004	SCREW, CAP, SLOTTED HEAD
7	7				33	1008493	INSULATOR
4	4				32	1008488-000	SCREW, SLOTTED, SPECIAL SEXTANT COVER
4	4				31	1008487-003	SCREW, CAP, SLOTTED HEAD
1	1				30	1008487-002	SCREW, CAP, SLOTTED HEAD
4	4				29	-001	SCREW, CAP, SLOTTED HEAD
13	11				28	1008486	WASHER, FLAT
	1				27	1021378-011	CROWN HALF AND PLUG ASSY SEXTANT (MATCHED ASSY)
	1				26	1021377-011	CROWN HALF AND PLUG ASSY TELESCOPE (MATCHED ASSY)
		AR	AR		25	1008903	ADHESIVE, EPOXY
		1	1		24	1021352-011	DUST COVER ASSY (SCT)
		2	2		23	1021358-011	RETAINER, DUST COVER
		1	1		22	1021362-011	DUST COVER ASSY (SXT)
		2	2		21	1021358-021	RETAINER, DUST COVER
		AR	AR	AR	20	1008906	SILICONE RUBBER
		AR	AR	AR	19	1008913	CURING AGENT
		AR	AR	AR	18	1008912	FILLER
		AR	AR	AR	17	1008911	EPOXY RESIN
		AR	AR	AR	16	1012543-001	LIGHT DIFFUSING COATING KIT
			1	1	15	1021373-001	ASTROSEXTANT PASSIVE THERMAL PROTECTIVE ASSY (SERIES 50)
		AR	AR	AR	14	1008910	PAINT, GRAY
		3			13	1021322-002	PLUG
		2			12	1021339-003	SCREW, CAP, SLOTTED HEAD
		1			11	-002	SCREW, CAP, SLOTTED HEAD
		4			10	1021341-002	WASHER
		4			9	1021339-001	SCREW, CAP, SLOTTED HEAD
		7			8	1021341-001	WASHER
		4			7	1021322-001	PLUG
		7			6	1021324	INSULATOR
		4			5	1021326	SCREW, SLOTTED, SPECIAL SEXTANT COVER
		1			4	1021338	FILLET, PROTECTOR, TELESCOPE COVER
		2			3	1021320-000	CROWN, HALF, UPPER, SEXTANT COVER
		1			2	1021329	CROWN, HALF, LOWER, SEXTANT COVER (INSEP ASSY)
		1			1	1021337	CROWN, HALF, LOWER, TELESCOPE COVER (INSEP ASSY)
							
							PROOFED
