-21	-11	FIND	DRAWING	TITLE
2		19	2010767-004	WASHER, STEP
2		18	1008827-002	SCREW, CAPTIVE
4		17	MS171433	PIN, SPRING
4		16	1004207	DRIVE CYLINDER
6		15	2010768	GASKET
4		14	2010767-003	WASHER, STEP
4		13	2004148-010	WASHER
4		12	2010782-002	SCREW, JACK
2		11	2010766	SHELL ELEC. CONN.
1		10	2010761	BASE, ELEC. CONN.
	6	9	1004546-3	WASHER, FLAT
	4	8	1004546-1	WASHER, FLAT
	4	7	MS16633-4015	RING, RETAINING, EXTERNAL
	4	6	1004579-1	SCREW, JACKING
	2	5	1008827-1	SCREW, CAP, SOC HD, CAPTIVE
14	14	4	1006783-18	SCREW, BUTTON HD
300	300	3	1010956-1	INSULATOR, BUSHING WRAPOST
	1	2	2010658	BASE, ELEC CONN (INSEP ASSY)
	2	1	2014754	SHELL, ELEC CONN (INSEP ASSY)
				
				PROOFED
