-011	FIND	DRAWING	TITLE
AR	6	1006835	STANNOUS OCTOATE
AR	5	1006834	COMPOUND SILICONE RUBBER
AR	4	1012507-1	TAPE, LACING
1	3	1010490-110	SLEEVING – HEAT SHRINK
4	2	1010738-5	PIN, CONTACT, CRIMP TYPE
1	1	1010430	MOTOR – TACH
			
			PROOFED
