-11	DRAWING	TITLE	FIND	STRIKE	NOTE
X	1010234	SCHEMATIC DIAGRAM, ELEC	REF		
					
2	1010829-012	DIODE	27		
1	1008275	INSULATOR	26		
1	1010359-29	CAPACITOR	25		
1	1010397-1	TRANSISTOR	24		
1	1010345-1	TRANSISTOR	23		
1	1010252-1	TRANSISTOR	22		
1	1010885	RESISTOR	21		See note 10 on schematic for specific p/n.
1	1010369-98	RESISTOR	20		
1	1010369-96	RESISTOR	19		
2	1010364-501	RESISTOR	18		
2	1010321-398	RESISTOR	17		
2	1010312-030	RESISTOR	16		
2	1006750-64	RESISTOR	15		
2	1006750-63	RESISTOR	14		
1	1006750-60	RESISTOR	13		
2	1010265-012	DIODE	12	X	
1	1010372-20	DIODE	11		
1	1010372-1	DIODE	10		
1	1006755-57	CAPACITOR	9		
1	1010320-13	CAPACITOR	8		
2	1008043	SPACER	7		
AR	1006776-22	INSULATION SLEEVING ELECTRICAL	6		
AR	1006787-2	WIRE, ELECTRICAL, NICKEL, IRON	5		
AR	1006757-1	WIRE, ELECTRICAL, NICKEL, RECT	4		
1	1007265	WIRING BOARD, BOTTOM	3		
1	1007264	WIRING BOARD, TOP	2		
1	1008279-011	HOUSING ASSY	1		
					
		PROOFED			
