0	TITLE	DRAWING	FIND
AR	SILICONE RUBBER	1010849	12
1	RESISTOR	1010695-56	11
2	RESISTOR	1010694-130	10
2	RESISTOR	-96	9
2	RESISTOR	1010695-96	8
1	RESISTOR	1010694-126	7
1	DIODE	1010439-2	6
1	DIODE	1010830-2	5
1	CAPACITOR	1006755-19	4
2	CAPACITOR	-10	3
1	CAPACITOR	1006789-009	2
1	BOARD, PRINTED CIRCUIT	1001544	1
			
	PROOFED		
