-11	DRAWING	TITLE	FIND	STRIKE
X	1010143	SCHEMATIC	REF	
				
AR	1010848-2	WIRE, ELECTRICAL – NICKEL	22	
1	1010497	DIODE	21	
1	1010372-15	DIODE	20	
1	1006755-133	CAPACITOR	19	
1	1006755-53	CAPACITOR	18	
1	1010369-100	RESISTOR	17	
1	1010369-99	RESISTOR	16	
1	1010369-94	RESISTOR	15	
1	10106750-24	RESISTOR	14	
1	1010398-1	TRANSISTOR	13	
1	1010342	TRANSISTOR	12	
AR	1006776-21	INSULATION SLEEVING	11	
AR	1006776-20	INSULATION SLEEVING	10	
AR	1006757-8	WIRE ELECTRICAL	9	X
AR	1006757-1	WIRE ELECTRICAL	8	
1	1008025-2	INSULATOR BUSHING	7	
1	1008025-1	INSULATOR BUSHING	6	
3	1006782-4	CONTACT WRAPOST MALE MINIAT.	5	
3	1006775	INSULATOR WRAPOST MALE MINIAT.	4	
1	1008540-3	GASKET	3	
AR	1006776-22	INSULATION SLEEVING	2	X
1	1008235	HEATSINK	1	
				
		PROOFED		
