FIND	-11	DRAWING	TITLE
4	AR	1010416-20	WIRE, ELECTRICAL, STRANDED, INSULATED
3	3	1010493	LAMP, MINIATURE
2	1	2011833	SHIM, INSULATING
1	1	2011736	TERMINAL BOARD, ASSY OF
			
			PROOFED
