-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
	X	X	2005003	SCHEMATIC	REF	
X			2005930	SCHEMATIC	REF	
AR			1006338-000	SEALING COMPOUND, SILICONE RUBBER	22	
1			2003035-021	OSCILLATOR, SUBASSEMBLY	21	
2	2		NAS620A-4L	WASHER, FLAT	20	
8	8		NAS620A-2	WASHER, FLAT	19	
2	2		2004984-001	WASHER, FLAT	18	
2	2		2004984-003	WASHER, FLAT	17	
		2	NAS620C-4L	WASHER, FLAT	16	
		8	NAS620C-2	WASHER, FLAT	15	
8	8	8	SEE NOTE 13	RESISTOR	14	
		2	1004546-1	WASHER, FLAT	13	
2	2	2	1004579-1	SCREW, JACKING	12	
AR	AR	AR	1006776-22	INSULATION, SLEEVING	11	
AR	AR	AR	1006757-8	WIRE, ELECTRICAL	10	
2	2	2	1006783-18	SCREW, BUTTON HEAD	9	
1	1	1	2004039	TERMINAL, THREADED	8	
8	8	8	1006783-9	SCREW, BUTTON HEAD	7	
		2	1004546-3	WASHER, FLAT	6	
1	1	1	2004062	COVER B	5	
1	1	1	2004061	COVER A	4	
2	2	2	MS16633-4015	RING, RETAINING	3	
	1	1	2003035-011	OSCILLATOR, SUBASSEMBLY	2	
1	1	1	2003037-011	HEADER HOUSING ASSEMBLY	1	
						
X	X	X	X	PROOFED	REF	X
