FIND	0	DRAWING	TITLE
15	3	NAS1352CO2LL4	SCREW, CAP, SOCKET HD. SELF-LOCKING
14	1	1012162	MIRROR
13	1	1012124	PLUG
12	2	1011282	SCREW, CAPTIV, HEX, SOCKET HEAD
11	2	MS16535-338	RIVET, TUBULAR OVAL HEAD
10	3	NAS1352CO2LL3	SCREW, CAP, SOCKET HEAD - SELF LOCKING
9	1	1012195	PLATE COVER, MIRROR
8	1	1011680	PLATE COVER, MIRROR
7	2	1011685	WASHER, WAVE
6	1	1011863	MIRROR
5	1	1011794	HOLDER AND LENS, ASSY OF
4	1	1011665	RING, SPACER
3	1	1011667	RING, LOCKING
2	1	1011781	LENS, ASSY OF
1	1	1011640	HOUSING, EYEPIECE
			
			PROOFED
