FIND	0	DRAWING	TITLE	STRIKE
REF	X	1010029	SCHEMATIC, ELECTRICAL	
48	AR	MIL-I-15126 TYPE MFT, 1/2 WIDE	INSULATION TAPE, ELEC	
47	AR	1006776-20	INSULATION SLEEVING, ELEC.	
46	AR	1006757-1	RIBBON .010 X .020	
45	AR	1006776-22	INSULATION SLEEVING, ELEC.	
44	AR	1006757-8	WIRE, ELECT .020 DIA	
43	AR	1006776-21	INSULATION SLEEVING, ELEC.	
42	1	1010422	TRANSFORMER	
41	1	1010291-2	TRANSFORMER	
40	1	1010269-2	TRANSISTOR (MATCHED PAIR)	
39	1	1010398-4	TRANSISTOR (MATCHED PAIR)	
38	1	1010397-1	TRANSISTOR	
37	1	1010431	TRANSISTOR	
36	1	1010265-12	SEMICONDUCTOR DEVICE DIODE	
35	11	1010385	SEMICONDUCTOR DEVICE DIODE	
34	1	1010309-4	REACTOR	
33	1	1006793-023	CAPACITOR	
32	2	1010409 SEE DRAWING NOTE 9	CAPACITOR	
31	2	1010410-7	CAPACITOR	
30	2	-15	CAPACITOR	
29	1	1010278-72	RESISTOR	
28	1	1010312-022	RESISTOR	
27	2	1006760-33	RESISTOR	
26	1	1010364 SEE DRAWING NOTE 9	RESISTOR	
25	1	1010364 SEE DRAWING NOTE 9	RESISTOR	
24	1	1010364-193	RESISTOR	
23	1	-309	RESISTOR	
22	2	-579	RESISTOR	
21	1	1006750-73	RESISTOR	
20	1	-8	RESISTOR	
19	1	-43	RESISTOR	
18	2	-65	RESISTOR	
17	2	-45	RESISTOR	
16	2	-56	RESISTOR	
15	8	1006775	INSULATOR, WRAPOST MALE MIN	
14	8	1006782-5	CONTACT, WRAPOST MALE MIN	
13	2	1008021-1	SPACER	
12				
11	2	1008071-4	WASHER, PLAIN	
10	2	1000093-3	SCREW	
9				
8	2	1008024-2	WASHER, MICA	
7	2	-1	WASHER, MICA	
6	2	MS20341-10B	NUT	
5	1	1008025-1	INSULATOR, BUSHING	
4	2	-2	INSULATOR, BUSHING	
3	1	1015724	INSULATOR	
2	1	1015723	INSULATOR	
1	1	1015725	HEATSINK	
				
			PROOFED	
