-21	-11	DRAWING	TITLE	FIND
1		1007548-011	AMPLIFIER 5% - 800 CPS	11
25	25	MS15795-805	WASHER, FLAT	10
25	25	NAS1352-06-8	SCREW, CAP, SOCKET HD	9
AR	AR	1006879	SILICONE COMPOUND	8
1	1	1007462-011	CDU RESOLVER LOADS	7
	1	1007560-011	MOTOR DRIVE AMP & SELECTOR CIRCUIT	6
3	3	1007438-011	AMPLIFIER 5% - 800 CPS	5
1	1	1007546-011	AAC FILTER & MULTIVIBRATOR 800 CPS	4
1	1	1007437-011	AMPLIFIER 1% - 800 CPS	3
1	1	1007564-011	CDU ZEROING TRANS. RELAYS	2
1	1	1007446-011	FRAME ASSEMBLY	1
				
			PROOFED	
