-21	-11	FIND	DRAWING	TITLE	STRIKE
AR		95	SEE DRAWING NOTE 28	MOISTUREPROOFING	
AR	AR	94	1010848-2	WIRE, ELECTRICAL – NICKEL	
X	X	REF	1009508	SCHEMATIC	
1	1	93	1010966-1	TRANSISTOR	
3	3	92	1006760-38	RESISTOR	
2	2	91	1010279-228	CAPACITOR	
1	1	90	1006755-34	CAPACITOR	
1	1	89	-57	CAPACITOR	
1	1	88	1006750-15	RESISTOR	
	1	87	-39	RESISTOR	X
1	1	86	1006760-32	RESISTOR	
1	1	85	1006750-57	RESISTOR	
1	1	84	1010633-1	TRANSISTOR	
1	1	83	1008540-15	GASKET, CONN	
2	2	82	-5	GASKET, CONN	
1	1	81	1010353-7	RELAY	
1	1	80	1010329-1	TRANSFORMER	
1	1	79	1010315-1	TRANSFORMER	
1	1	78	1010759	TRANSFORMER	
2	2	77	1006762-2	TRANSFORMER	
1	1	76	1012048	TRANSISTOR	
1	1	75	1010398-1	TRANSISTOR	
12	12	74	1010397-1	TRANSISTOR	
1	1	73	1010367	TRANSISTOR	
1	1	72	1010342	TRANSISTOR	
	1	71	1006752	TRANSISTOR	X
4	4	70	1012056-9	DIODE	
1	1	69	-1	DIODE	
		68			
4	4	67	1010362-003	DIODE	
3	3	66	-002	DIODE	
2	2	65	1010830-11	DIODE	
		64			
1	1	63	1006751-000	DIODE	
1	1	62	1012501	CAPACITOR	
1	1	61	1010393-037	CAPACITOR	
1	1	60	1010359-29	CAPACITOR	
1	1	59	1010317-6	CAPACITOR	
1	1	58	1006793-10	CAPACITOR	
1	1	57	1010279-232	CAPACITOR	
2	2	56	1006793-51	CAPACITOR	
2	2	55	1006755-133	CAPACITOR	
2	2	54	-79	CAPACITOR	
1	1	53	-77	CAPACITOR	
1	1	52	-53	CAPACITOR	
2	2	51	-130	CAPACITOR	
1	1	50	-89	CAPACITOR	
9	9	49	-69	CAPACITOR	
1	1	48	1010374-29	RESISTOR	
1	1	47	-1	RESISTOR	
1	1	46	-54	RESISTOR	
1	1	45	1010364-765	RESISTOR	
1	1	44	-719	RESISTOR	
1	1	43	-635	RESISTOR	
1	1	42	-749	RESISTOR	
1	1	41	-579	RESISTOR	
1	1	40	-459	RESISTOR	
1	1	39	-451	RESISTOR	
1	1	38	-733	RESISTOR	
1	1	37	-359	RESISTOR	
1	1	36	-317	RESISTOR	
	1	35	1006760-38	RESISTOR	X
1	1	34	1010364-301	RESISTOR	
1	1	33	-435	RESISTOR	
1	1	32	-343	RESISTOR	
2	2	31	-502	RESISTOR	
1	1	30	-452	RESISTOR	
1	1	29	1006750-68	RESISTOR	
1	1	28	1010369-148	RESISTOR	
1	1	27	1006750-51	RESISTOR	
1	1	26	-24	RESISTOR	
1	1	25	-16	RESISTOR	
2	2	24	-8	RESISTOR	
3	3	23	1010364-573	RESISTOR	
2	2	22	1006750-67	RESISTOR	
2	2	21	-63	RESISTOR	
1	1	20	1010364-444	RESISTOR	
2	2	19	1006750-49	RESISTOR	
4	4	18	-39	RESISTOR	
1	1	17	-48	RESISTOR	
3	3	16	-80	RESISTOR	
4	4	15	-73	RESISTOR	
3	3	14	-32	RESISTOR	
AR	AR	13	1006776-22	INSULATION SLEEVING, ELEC	
AR	AR	12	-21	INSULATION SLEEVING, ELEC	
AR	AR	11	-20	INSULATION SLEEVING, ELEC	
	AR	10	1006757-8	WIRE, ELEC (.020 DIA)	X
AR	AR	9	-1	WIRE, ELEC (.010 X .020)	
9	9	8	1008161-3	SCREW, SPECIAL	
3	3	7	1015135-019	SPACER	
25	25	6	1006775	INSULATOR, MALE	
25	25	5	1006782-5	CONTACT, MALE	
1	1	4	1007276	PLATE, SHIELDING	
1	1	3	1008567	WIRING BOARD, BOTTOM	
1	1	2	1008566	WIRING BOARD, TOP	
1	1	1	1007568	FRAME	
					
				PROOFED	
