-11	DRAWING	TITLE	FIND
			17
1	1010490-110	INSULATION SLEEVING ELEC. HT. SHRK	16
1	1010490-346	INSULATION SLEEVING ELEC. HT. SHRK	15
			14
AR	1010996	ADHESIVE	13
AR	MIL-A-13883 TYPE I	ADH 3M EC1098	12
2	1010867-12	SCREW, FLAT HD, SPL SOC S.L.	11
6	1001488-18	SCREW, HEX, SOC HEAD S.L.	10
6	1001489-22	SCREW, HEX, SOC HEAD	9
1	2018732	CLIP, WIRE RETAINER	8
1	2018731	CLIP, WIRE RETAINER	7
1	2018621	BEARING, BALL, DUPLEX	6
1	2018733	PLATE, BRG RETAINER RSVR M.A. & O.A.	5
1	2018723	NUT, BEARING RETAINER	4
1	2018631	RESOLVER, MULTIPLE SPEED	3
1	2018730	SHAFT, STUB, RSVR M.A. & O.A.	2
1	2018739	HOUSING, BRG, RSVR, OUTER AXIS	1
			
		PROOFED	
