FIND	0	DRAWING	TITLE
31	1	1012204	COVER, HOUSING (RIGHT)
30	1	1012203	HOUSING, BRAKE (RIGHT)
29	2	1011771	RIVET, UNIVERSAL HD. MINIATURE
28	4	NAS1352CO2LL3	SCREW, CAP SOCKET HEAD
27	2	NAS1352CO4-6	SCREW, CAP SOCKET HEAD
26	2	1012216	TAPE, ASSEMBLY
25	2	1012193	SPRING
24	1	1012188	COVER, HOUSING (LEFT)
23	2	1012186	GUIDE, SPRING
22	1	1012185	HOUSING, BRAKE (LEFT)
21			
20	1	1012192	COVER, MAGAZINE
19	2	1012191	CLIP, FILM
18	2	1012183	FAIRLEAD
17			
16	2	1012208	FILM SPOOL ASSY
15	2	1011770-2	RING, RETAINING
14	2	1012214	HUB, SPOOL
13	4	1011770-1	RING, RETAINING
12	2	1011395	ROLLER, FILM GUIDE
11	2	1011397	SPROCKET
10	4	1011608-1	BEARING, BALL
9	4	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD SELF-LOCKING
8	4	NAS1351CO0LL2	SCREW, CAP, HEX SOC HD SELF-LOCKING
7	1	1012199	PLATE, FILM RETAINER
6	1	1011444	APERTURE BLOCK ASSY OF
5	1	MS24692-3	PIN, TAPERED PLAIN
4	1	1011401	GEAR, SPUR – SPECIAL 5T/10P
3	1	1011396	GEARSHAFT 36T/64P
2	6	1011406	BEARING, BALL
1	1	1011456	HOUSING, MAGAZINE ASSY OF
			
			PROOFED
