-041	-031	-021	-011	FIND	DRAWING	TITLE	STRIKE
1				92	1014650-26	NAMEPLATE	
1				91	1014558-041	SEXTANT HAND CONTROLLER ASSY	
1				90	1023017	HARNESS	
	6			89	1010738-1	CONTACT, ELECTRICAL	
AR	AR			88	1012503-2	COMPOUND, POLYURETHANE	
AR	AR			87	-1	COMPOUND, POLYURETHANE	
	1			86	1014650-22	NAMEPLATE	
	1			85	1010812-3	SEAL, CONNECTOR	
	1			84	1014643	ATTITUDE IMPULSE SWITCH ASSY	
	1			83	1010478-3	SWITCH ASSY, TOGGLE	
	1			82	1014558-031	SEXTANT HAND CONTROLLER ASSY	
1		1	1	81	1015020	ATTITUDE IMPULSE SWITCH ASSY	
X		X		REF	1015018	SCHEMATIC DIAGRAM, ELECTRICAL	
2		2		80	1014585-003	KNOB, ROTARY SWITCH	
1		1		79	1015016	PANEL, GEN IND. CONT. (INSEP)	
		1		78	1015014	WIRE LIST AA	
		1		77	1015015	HARNESS	
1		1		76	1010494-3	SWITCH ASSY, ROTARY	
1		1		75	-2	SWITCH ASSY, ROTARY	
		1		74	1014650-8	NAMEPLATE	
4		4		73	NAS1081CO6D3L	SCREW-SET, SELF LOCK	
1	1	1	1	72	1014660	PLATE	
1	1	1	1	71	1014659	PLATE	
1	1	1	1	70	1006783-21	SCREW, BUTTON HD	
1	1	1	1	69	1010624-2	LAMP – INCANDESCENT	
X	X	X	X	REF	PS1014578	SPECIFICATION	
	X		X	REF	1014579	SCHEMATIC DIAGRAM, ELECTRICAL	
							
	1		1	68	1014624	WIRE LIST AA	
AR	AR	AR	AR	67A	MIL-F-14256	FLUX (ES-2798)	
AR	AR	AR	AR	66B	QQ-S-571 TYPE AR	FLUX (ES-2175 TYPE 1 OR 2)	
AR	AR	AR	AR	66A	QQ-S-571 SN60	SOLDER (ES-2175 ALLOY 1)	
				65			
				64			
			1	63	1014650-1	NAMEPLATE	
	1		1	62	1014580	HARNESS	
				61			
2	2	2	2	60	MS16633-4009	RING – RETAINING	
1	1	1	1	59	1000220-10	CLAMP – CABLE	
5	5	5	5	58	1000220-8	CLAMP – CABLE	
2	2	2	2	57	-7	CLAMP – CABLE	
				56			
3	3	3	3	55	-4	CLAMP – CABLE	
10	10	10	10	54	1011918-3	WASHER – CABLE CLAMP	
1	1	1	1	53	-1	WASHER – CABLE CLAMP	
				52			
				51			
18	18	18	18	50	1006783-22	SCREW – BUTTON HD.	
				49			
2	2	2	2	48	-18	SCREW – BUTTON HD.	
4	2	4	2	47	1010630-25	SCREW – FLAT HD.	
10	10	10	10	46	1006783-19	SCREW – BUTTON HD.	
2	6	2	6	45	NAS1081CO4D3L	SCREW-SET, SELF LOCK	
12	12	12	12	44	1010630-14	SCREW – FLAT HD.	
6	6	6	6	43	1014503	SCREW – CAPTIVE	
				42			
				41			
				40			
2	2	2	2	39	1010268-2	LAMP – INCANDESCENT	
2	2	2	2	38	1010625-1	HOLDER, LAMP	
2	2	2	2	37	1014595	BRACKET, MOUNTING – LAMP	
1	1	1	1	36	1014594	PLATE, MOUNTING SWITCH	
2	2	2	2	35	1014587	WINDOW	
4	4	4	4	34	1014584	GASKET, WINDOW	
2	2	2	2	33	1014583	CLAMP, WINDOW	
2	2	2	2	32	1014530	PIN – CONNECTOR	
2	2	2	2	31	1014528	PIN – PANEL	
1	1	1	1	30	1014588	WHEEL, POTENTIOMETER	
				29			
1	1	1	1	28	1014586	SUPPORT, HAND CONTROLLER	
1	1	1	1	27	1014651-7	CAP – PUSH BUTTON, ILLUMINATED	
9	9	9	9	26	1010475-1	CAP, PUSH BUTTON	
	1		1	25	1014585-002	KNOB, ROTARY SWITCH	
	1		1	24	-001	KNOB, ROTARY SWITCH	
	1		1	23	1010494-1	SWITCH ASSY, ROTARY	
	1		1	22	1010417-1	SWITCH ASSY, ROTARY	
				21			
1	1	1	1	20	1010627-2	SWITCH ASSY, PUSH BUTTON, ILLUMINATED	
3	3	3	3	19	1010480-3	SWITCH ASSY, PUSH BUTTON	
4	4	4	4	18	1010480-2	SWITCH ASSY, PUSH BUTTON	
2	2	2	2	17	-1	SWITCH ASSY, PUSH BUTTON	
1	1	1	1	16	1010489-1	SWITCH ASSY, TOGGLE	
1	1	1	1	15	1010479-2	SWITCH ASSY, TOGGLE	
1	1	1	1	14	-1	SWITCH ASSY, TOGGLE	
1	1	1	1	13	1010484-1	SWITCH ASSY, TOGGLE	
				12			
1		1	1	11	1010478-2	SWITCH ASSY, TOGGLE	
2	1	2	2	10	-1	SWITCH ASSY, TOGGLE	
				9			
				8			
1	1	1	1	7	1010492	TRANSFORMER, POWER	
				6			
		1	1	5	1014643	ATTITUDE IMPULSE SWITCH ASSY	X
		1	1	4	1014558-021	SEXTANT HAND CONTROLLER ASSY	
				3			
1	1	1	1	2	1014591-011	BRACKET & POT. ASSEMBLY	
	1		1	1	1014581	PANEL G&N IND. CONT (INSEP)	
							
						PROOFED	
